,A,B,C,D,Class,Fe,Ti,Ba,Ca,K,Mn,Rb,Sr,Y,Zr
A#1,1,0,0,0,A,1100,390,55,920,460,45,120,57,58,142
A#2,1,0,0,0,A,1173,417,54,961,441,47,135,55,60,145
A#3,1,0,0,0,A,1164,404,56,916,446,42,120,58,45,148
A#4,1,0,0,0,A,1030,373,59,920,487,38,128,53,58,138
A#5,1,0,0,0,A,1077,373,55,888,455,38,97,51,54,145
A#6,1,0,0,0,A,1080,403,53,919,442,41,133,60,45,155
A#7,1,0,0,0,A,1020,360,59,883,473,43,119,40,50,134
A#8,1,0,0,0,A,1050,396,56,924,482,48,140,74,71,157
A#9,1,0,0,0,A,1100,373,53,910,477,51,137,61,58,152
A#10,1,0,0,0,A,1069,375,51,958,429,42,100,51,47,128
B#1,0,1,0,0,B,863,183,8,626,452,34,121,15,58,70
B#2,0,1,0,0,B,1108,289,7,783,426,41,109,15,57,67
B#3,0,1,0,0,B,1210,276,10,966,430,44,117,20,44,73
B#4,0,1,0,0,B,1205,291,10,975,420,43,115,25,58,73
B#5,0,1,0,0,B,1100,267,10,910,500,40,145,25,65,95
B#6,0,1,0,0,B,1100,280,10,872,515,49,145,38,60,65
B#7,0,1,0,0,B,689,114,9,534,404,26,110,25,50,55
B#8,0,1,0,0,B,1186,257,10,940,431,40,121,20,53,73
B#9,0,1,0,0,B,860,182,7,722,418,33,115,20,55,53
C#1,0,0,1,0,C,952,131,37,320,430,34,118,25,65,165
C#2,0,0,1,0,C,933,120,36,321,414,31,125,10,59,163
C#3,0,0,1,0,C,999,129,38,343,446,34,121,15,52,161
C#4,0,0,1,0,C,975,136,38,333,418,36,111,10,53,147
C#5,0,0,1,0,C,885,118,32,294,382,27,95,15,55,134
C#6,0,0,1,0,C,928,127,37,337,455,30,109,15,47,151
C#7,0,0,1,0,C,890,122,33,315,380,34,106,15,60,155
C#8,0,0,1,0,C,840,133,42,320,405,31,100,10,55,197
C#9,0,0,1,0,C,890,119,37,272,384,32,117,15,50,160
C#10,0,0,1,0,C,1000,135,36,335,385,32,100,15,50,135
C#11,0,0,1,0,C,930,131,32,342,385,28,100,10,55,140
C#12,0,0,1,0,C,880,156,36,279,388,37,103,15,53,143
C#13,0,0,1,0,C,960,137,35,315,390,34,110,10,60,167
C#14,0,0,1,0,C,970,133,40,310,390,36,115,15,65,160
C#15,0,0,1,0,C,819,131,38,435,392,35,108,15,54,150
C#16,0,0,1,0,C,932,147,37,318,393,32,122,28,56,174
C#17,0,0,1,0,C,970,140,40,338,394,36,118,15,61,160
C#18,0,0,1,0,C,1000,146,41,360,394,33,125,15,48,170
C#19,0,0,1,0,C,970,133,40,310,390,36,115,15,65,160
C#20,0,0,1,0,C,930,140,36,335,395,33,100,10,65,170
C#21,0,0,1,0,C,960,138,35,323,395,52,103,10,55,145
C#22,0,0,1,0,C,990,142,38,405,400,37,122,15,60,155
C#23,0,0,1,0,C,918,133,35,317,408,35,120,15,58,190
D#1,0,0,0,1,D,1525,270,54,860,345,65,83,47,60,203
D#2,0,0,0,1,D,1565,374,54,813,295,59,88,42,49,187
D#3,0,0,0,1,D,1705,441,66,835,310,66,91,44,42,187
D#4,0,0,0,1,D,1650,294,60,945,367,62,91,39,58,192
D#5,0,0,0,1,D,1630,314,54,934,340,67,95,33,38,220
D#6,0,0,0,1,D,1635,405,58,868,311,56,83,47,60,154
D#7,0,0,0,1,D,1635,385,55,845,290,62,85,47,58,196
D#8,0,0,0,1,D,1480,310,54,850,320,66,71,27,47,184
D#9,0,0,0,1,D,1720,425,58,893,316,65,93,33,44,192
D#10,0,0,0,1,D,1560,269,56,915,350,64,96,47,52,194
D#11,0,0,0,1,D,1705,333,55,1010,345,74,94,45,61,217
D#12,0,0,0,1,D,1700,360,55,945,355,60,100,47,58,183
D#13,0,0,0,1,D,1675,342,56,920,360,61,91,49,59,215
D#14,0,0,0,1,D,1695,358,57,920,347,67,93,42,71,192
D#15,0,0,0,1,D,1645,327,65,940,322,69,88,44,60,208
D#16,0,0,0,1,D,1720,392,58,890,344,64,97,48,50,181
D#17,0,0,0,1,D,1620,385,55,835,295,59,87,22,60,203
D#18,0,0,0,1,D,1615,337,50,850,320,66,92,48,66,212
D#19,0,0,0,1,D,1675,325,62,930,350,66,89,50,63,224
D#20,0,0,0,1,D,1685,353,59,875,318,60,91,41,60,203
D#21,0,0,0,1,D,1600,316,54,915,347,83,82,52,66,209
E#1,0,0,0,0,E,1050,195,46,865,400,36,97,10,50,160
E#2,0,0,0,0,E,1010,357,65,900,455,42,112,65,55,145
E#3,0,0,0,0,E,920,320,60,830,440,33,110,43,60,143
E#4,0,0,0,0,E,1000,194,58,965,460,42,125,30,60,145
F#1,0,0,0,0,F,920,215,6,650,435,37,122,15,65,75
F#2,0,0,0,0,F,780,140,12,605,415,35,130,15,50,70
F#3,0,0,0,0,F,680,105,10,460,400,31,127,15,57,87
G#1,0,0,0,0,G,920,127,39,475,430,34,98,5,60,156
G#2,0,0,0,0,G,900,115,37,310,440,34,108,30,60,175
G#3,0,0,0,0,G,920,138,41,350,450,34,110,20,62,157
G#4,0,0,0,0,G,775,110,35,327,337,34,93,15,65,132
G#5,0,0,0,0,G,935,131,38,360,420,37,105,10,85,150
