"Year";"IsDayBin";"Month";"WindSpeed";"IrrDirect";"IrrDiffuse";"Temperature";"Percipitation";"SnowFlow";"SnowMass";"AirDensity";"RadSurface";"RadTop";"CloudCover"
"R1";2016;Night;1;5.777;0;0;-1.21;0.114;0.099;10.592;1.268;0;0;1.0
"R2";2016;Night;1;5.887;0;0;-0.862;0.114;0.103;10.671;1.266;0;0;1.0
"R3";2016;Night;1;5.957;0;0;-0.552;0.122;0.111;10.756;1.265;0;0;1.0
"R4";2016;Night;1;6.025;0;0;-0.297;0.158;0.145;10.855;1.264;0;0;1.0
"R5";2016;Night;1;6.101;0;0;-0.149;0.164;0.081;10.884;1.263;0;0;1.0
"R6";2016;Night;1;6.193;0;0;-0.104;0.141;0.094;10.873;1.264;0;0;0.999
"R7";2016;Night;1;6.259;0;0;-0.124;0.128;0.089;10.859;1.264;0;0;0.998
"R8";2016;Night;1;6.207;0;0;-0.181;0.122;0.105;10.859;1.265;0;0;0.992
"R9";2016;Day;1;5.983;0;0;-0.271;0.134;0.121;10.9;1.267;0.697;17.13;0.984
"R10";2016;Day;1;5.92;0.001;0.005;-0.301;0.135;0.119;10.963;1.268;7.19;100.465;0.978
"R11";2016;Day;1;5.85;0.001;0.009;-0.251;0.141;0.119;11.021;1.268;14.689;156.28;0.959
"R12";2016;Day;1;5.737;0.002;0.012;-0.173;0.172;0.144;11.101;1.268;18.659;168.917;0.926
"R13";2016;Day;1;5.436;0.002;0.01;-0.143;0.25;0.239;11.261;1.269;16.259;137.5;0.865
"R14";2016;Day;1;5.352;0.001;0.004;-0.281;0.306;0.297;11.529;1.27;6.61;64.172;0.81
"R15";2016;Day;1;5.435;0;0;-0.507;0.309;0.289;11.815;1.271;0.037;1.127;0.785
"R16";2016;Night;1;5.606;0;0;-0.661;0.289;0.263;12.086;1.272;0;0;0.752
"R17";2016;Night;1;5.613;0;0;-0.839;0.256;0.234;12.322;1.273;0;0;0.726
"R18";2016;Night;1;5.706;0;0;-1.001;0.213;0.192;12.527;1.274;0;0;0.711
"R19";2016;Night;1;5.842;0;0;-1.18;0.184;0.167;12.703;1.275;0;0;0.686
"R20";2016;Night;1;5.893;0;0;-1.345;0.166;0.152;12.856;1.276;0;0;0.672
"R21";2016;Night;1;5.936;0;0;-1.483;0.145;0.134;12.997;1.278;0;0;0.665
"R22";2016;Night;1;5.948;0;0;-1.572;0.11;0.103;13.114;1.279;0;0;0.647
"R23";2016;Night;1;6.056;0;0;-1.69;0.09;0.087;13.206;1.28;0;0;0.68
"R24";2016;Night;1;6.14;0;0;-1.817;0.086;0.086;13.294;1.281;0;0;0.805
"R25";2016;Night;1;6.434;0;0;-1.863;0.092;0.091;13.385;1.282;0;0;0.915
"R26";2016;Night;1;6.42;0;0;-1.867;0.096;0.095;13.479;1.284;0;0;0.948
"R27";2016;Night;1;6.343;0;0;-1.961;0.102;0.102;13.578;1.286;0;0;0.95
"R28";2016;Night;1;6.391;0;0;-2.208;0.117;0.117;13.686;1.287;0;0;0.954
"R29";2016;Night;1;6.605;0;0;-2.5;0.128;0.128;13.807;1.289;0;0;0.939
"R30";2016;Night;1;6.856;0;0;-2.845;0.122;0.122;13.927;1.291;0;0;0.873
"R31";2016;Night;1;7;0;0;-3.265;0.109;0.109;14.035;1.294;0;0;0.801
"R32";2016;Night;1;7.047;0;0;-3.734;0.104;0.104;14.133;1.297;0;0;0.752
"R33";2016;Day;1;6.977;0.002;0.002;-4.216;0.086;0.086;14.219;1.301;2.846;18.172;0.698
"R34";2016;Day;1;6.917;0.013;0.015;-4.576;0.061;0.061;14.278;1.304;23.872;102.349;0.631
"R35";2016;Day;1;6.906;0.029;0.029;-4.909;0.051;0.051;14.312;1.306;48.273;158.215;0.627
"R36";2016;Day;1;6.976;0.024;0.03;-5.262;0.057;0.057;14.343;1.308;48.828;170.897;0.715
"R37";2016;Day;1;6.892;0.015;0.021;-5.577;0.047;0.047;14.365;1.31;34.558;139.438;0.693
"R38";2016;Day;1;6.925;0.01;0.009;-6.073;0.039;0.039;14.388;1.312;15.37;66.089;0.682
"R39";2016;Day;1;7.047;0;0;-6.667;0.044;0.044;14.415;1.313;0.164;1.385;0.654
"R40";2016;Night;1;7.024;0;0;-7.149;0.022;0.022;14.44;1.315;0;0;0.594
"R41";2016;Night;1;7.074;0;0;-7.717;0.018;0.018;14.455;1.316;0;0;0.594
"R42";2016;Night;1;7.151;0;0;-8.329;0.018;0.018;14.472;1.317;0;0;0.58
"R43";2016;Night;1;7.408;0;0;-8.756;0.023;0.023;14.494;1.317;0;0;0.609
"R44";2016;Night;1;7.312;0;0;-8.817;0.025;0.025;14.52;1.318;0;0;0.573
"R45";2016;Night;1;7.208;0;0;-8.764;0.027;0.027;14.548;1.318;0;0;0.598
"R46";2016;Night;1;6.973;0;0;-8.689;0.041;0.041;14.582;1.319;0;0;0.654
"R47";2016;Night;1;6.826;0;0;-8.631;0.055;0.055;14.632;1.319;0;0;0.713
"R48";2016;Night;1;6.858;0;0;-8.395;0.058;0.058;14.689;1.319;0;0;0.746
"R49";2016;Night;1;6.594;0;0;-8.034;0.054;0.054;14.744;1.319;0;0;0.72
"R50";2016;Night;1;6.415;0;0;-8.103;0.044;0.044;14.791;1.319;0;0;0.715
"R51";2016;Night;1;6.327;0;0;-8.37;0.04;0.04;14.831;1.319;0;0;0.71
"R52";2016;Night;1;6.143;0;0;-8.743;0.03;0.03;14.867;1.318;0;0;0.66
"R53";2016;Night;1;6.166;0;0;-9.366;0.017;0.017;14.892;1.317;0;0;0.752
"R54";2016;Night;1;5.984;0;0;-9.713;0.013;0.013;14.909;1.316;0;0;0.729
"R55";2016;Night;1;5.94;0;0;-9.953;0.011;0.011;14.924;1.315;0;0;0.709
"R56";2016;Night;1;5.936;0;0;-10.176;0.008;0.008;14.936;1.314;0;0;0.733
"R57";2016;Day;1;5.969;0.011;0.003;-10.27;0.007;0.007;14.946;1.312;4.911;19.348;0.719
"R58";2016;Day;1;5.896;0.054;0.021;-9.613;0.008;0.008;14.955;1.311;35.989;104.437;0.655
"R59";2016;Day;1;5.713;0.09;0.035;-8.32;0.008;0.008;14.964;1.309;63.786;160.331;0.641
"R60";2016;Day;1;5.538;0.091;0.038;-7.601;0.008;0.008;14.965;1.307;69.191;173.022;0.64
"R61";2016;Day;1;5.425;0.068;0.03;-7.538;0.009;0.009;14.964;1.306;52.989;141.563;0.629
"R62";2016;Day;1;5.47;0.033;0.013;-8.364;0.008;0.008;14.969;1.305;21.701;68.158;0.652
"R63";2016;Day;1;5.287;0;0;-9.513;0.006;0.006;14.977;1.304;0.306;1.7;0.707
"R64";2016;Night;1;5.037;0;0;-10.016;0.003;0.003;14.983;1.304;0;0;0.719
"R65";2016;Night;1;4.818;0;0;-10.436;0.002;0.002;14.987;1.305;0;0;0.742
"R66";2016;Night;1;4.645;0;0;-10.916;0.002;0.002;14.99;1.305;0;0;0.636
"R67";2016;Night;1;4.515;0;0;-11.349;0.002;0.002;14.994;1.306;0;0;0.487
"R68";2016;Night;1;4.544;0;0;-11.753;0.003;0.003;14.997;1.307;0;0;0.406
"R69";2016;Night;1;4.425;0;0;-11.883;0.005;0.005;15.003;1.308;0;0;0.501
"R70";2016;Night;1;4.346;0;0;-11.878;0.008;0.008;15.011;1.308;0;0;0.559
"R71";2016;Night;1;4.293;0;0;-11.856;0.009;0.009;15.021;1.308;0;0;0.625
"R72";2016;Night;1;4.237;0;0;-11.87;0.011;0.011;15.033;1.308;0;0;0.73
"R73";2016;Night;1;4.222;0;0;-11.91;0.014;0.014;15.046;1.307;0;0;0.819
"R74";2016;Night;1;4.157;0;0;-11.902;0.017;0.017;15.063;1.307;0;0;0.851
"R75";2016;Night;1;4.068;0;0;-11.85;0.02;0.02;15.083;1.306;0;0;0.819
"R76";2016;Night;1;4.19;0;0;-11.888;0.019;0.019;15.103;1.305;0;0;0.714
"R77";2016;Night;1;4.465;0;0;-11.945;0.018;0.018;15.122;1.303;0;0;0.663
"R78";2016;Night;1;4.686;0;0;-11.951;0.017;0.017;15.141;1.302;0;0;0.648
"R79";2016;Night;1;4.823;0;0;-11.94;0.016;0.016;15.159;1.301;0;0;0.659
"R80";2016;Night;1;4.798;0;0;-11.87;0.014;0.014;15.175;1.3;0;0;0.658
"R81";2016;Day;1;4.734;0.009;0.003;-11.767;0.013;0.013;15.19;1.299;4.971;20.667;0.647
"R82";2016;Day;1;4.719;0.041;0.02;-11.299;0.014;0.014;15.205;1.299;34.724;106.687;0.678
"R83";2016;Day;1;4.771;0.052;0.033;-10.23;0.016;0.016;15.22;1.297;56.459;162.644;0.7
"R84";2016;Day;1;4.699;0.047;0.035;-9.235;0.019;0.019;15.233;1.295;59.665;175.334;0.72
"R85";2016;Day;1;4.685;0.034;0.027;-8.982;0.021;0.021;15.247;1.294;44.886;143.866;0.717
"R86";2016;Day;1;4.856;0.015;0.011;-9.553;0.026;0.026;15.269;1.292;17.986;70.408;0.679
"R87";2016;Day;1;4.94;0;0;-10.348;0.028;0.028;15.297;1.292;0.313;2.083;0.68
"R88";2016;Night;1;5.2;0;0;-10.733;0.03;0.03;15.328;1.292;0;0;0.674
"R89";2016;Night;1;5.37;0;0;-10.847;0.032;0.032;15.359;1.292;0;0;0.703
"R90";2016;Night;1;5.332;0;0;-10.859;0.033;0.033;15.394;1.292;0;0;0.66
"R91";2016;Night;1;5.384;0;0;-11.008;0.027;0.027;15.425;1.293;0;0;0.66
"R92";2016;Night;1;5.217;0;0;-11.042;0.024;0.024;15.452;1.293;0;0;0.663
"R93";2016;Night;1;4.969;0;0;-10.961;0.025;0.025;15.477;1.294;0;0;0.625
"R94";2016;Night;1;4.863;0;0;-11.02;0.027;0.027;15.505;1.295;0;0;0.637
"R95";2016;Night;1;4.912;0;0;-11.226;0.028;0.028;15.535;1.295;0;0;0.618
"R96";2016;Night;1;5.069;0;0;-11.525;0.029;0.029;15.564;1.296;0;0;0.617
"R97";2016;Night;1;5.247;0;0;-11.791;0.029;0.029;15.595;1.297;0;0;0.616
"R98";2016;Night;1;5.379;0;0;-11.966;0.031;0.031;15.627;1.298;0;0;0.611
"R99";2016;Night;1;5.429;0;0;-12.096;0.035;0.035;15.662;1.298;0;0;0.617
"R100";2016;Night;1;5.396;0;0;-11.958;0.031;0.031;15.698;1.299;0;0;0.615
"R101";2016;Night;1;5.322;0;0;-11.812;0.027;0.027;15.729;1.299;0;0;0.606
"R102";2016;Night;1;5.259;0;0;-11.876;0.026;0.026;15.758;1.299;0;0;0.613
"R103";2016;Night;1;5.287;0;0;-11.897;0.023;0.023;15.785;1.3;0;0;0.611
"R104";2016;Night;1;5.286;0;0;-11.903;0.018;0.018;15.807;1.3;0;0;0.564
"R105";2016;Day;1;5.351;0.011;0.003;-12.074;0.011;0.011;15.823;1.301;5.22;22.138;0.492
"R106";2016;Day;1;5.376;0.06;0.021;-11.702;0.005;0.005;15.832;1.301;37.784;109.125;0.395
"R107";2016;Day;1;5.182;0.144;0.038;-10.706;0.002;0.002;15.835;1.3;73.281;165.134;0.314
"R108";2016;Day;1;4.733;0.19;0.041;-9.884;0.001;0.001;15.83;1.299;85.319;177.834;0.297
"R109";2016;Day;1;4.581;0.157;0.034;-9.877;0.001;0.001;15.826;1.298;67.503;146.355;0.301
"R110";2016;Day;1;4.836;0.07;0.015;-10.778;0.001;0.001;15.827;1.299;28.176;72.841;0.299
"R111";2016;Day;1;5.163;0.001;0;-12.351;0.002;0.002;15.831;1.301;0.591;2.542;0.344
"R112";2016;Night;1;5.078;0;0;-13.07;0.002;0.002;15.835;1.302;0;0;0.446
"R113";2016;Night;1;4.908;0;0;-13.165;0.003;0.003;15.84;1.304;0;0;0.505
"R114";2016;Night;1;4.737;0;0;-13.022;0.004;0.004;15.845;1.304;0;0;0.542
"R115";2016;Night;1;4.644;0;0;-12.913;0.005;0.005;15.851;1.305;0;0;0.535
"R116";2016;Night;1;4.624;0;0;-12.968;0.006;0.006;15.858;1.306;0;0;0.534
"R117";2016;Night;1;4.605;0;0;-13.026;0.007;0.007;15.866;1.306;0;0;0.542
"R118";2016;Night;1;4.664;0;0;-13.205;0.005;0.005;15.873;1.308;0;0;0.524
"R119";2016;Night;1;4.678;0;0;-13.489;0.003;0.003;15.879;1.309;0;0;0.456
"R120";2016;Night;1;4.667;0;0;-13.91;0.003;0.003;15.883;1.311;0;0;0.432
"R121";2016;Night;1;4.727;0;0;-14.372;0.003;0.003;15.888;1.313;0;0;0.47
"R122";2016;Night;1;4.887;0;0;-14.701;0.007;0.007;15.894;1.315;0;0;0.532
"R123";2016;Night;1;5.03;0;0;-14.848;0.009;0.009;15.904;1.317;0;0;0.624
"R124";2016;Night;1;4.936;0;0;-14.671;0.008;0.008;15.915;1.317;0;0;0.614
"R125";2016;Night;1;4.777;0;0;-14.546;0.007;0.007;15.923;1.318;0;0;0.636
"R126";2016;Night;1;4.643;0;0;-14.525;0.006;0.006;15.931;1.318;0;0;0.616
"R127";2016;Night;1;4.524;0;0;-14.558;0.006;0.006;15.937;1.319;0;0;0.598
"R128";2016;Night;1;4.43;0;0;-14.642;0.005;0.005;15.944;1.32;0;0;0.592
"R129";2016;Day;1;4.339;0.021;0.004;-14.696;0.006;0.006;15.95;1.32;6.911;23.764;0.582
"R130";2016;Day;1;4.302;0.083;0.023;-14.415;0.007;0.007;15.957;1.321;42.582;111.719;0.582
"R131";2016;Day;1;4.332;0.12;0.038;-13.462;0.007;0.007;15.963;1.321;70.862;167.769;0.57
"R132";2016;Day;1;3.974;0.135;0.041;-12.585;0.006;0.006;15.96;1.321;79.359;180.522;0.564
"R133";2016;Day;1;3.861;0.102;0.033;-12.557;0.006;0.006;15.957;1.32;61.481;149;0.576
"R134";2016;Day;1;4.07;0.046;0.015;-13.247;0.005;0.005;15.961;1.32;25.963;75.46;0.601
"R135";2016;Day;1;4.143;0.001;0;-14.158;0.006;0.006;15.966;1.321;0.671;3.09;0.622
"R136";2016;Night;1;4.07;0;0;-14.453;0.005;0.005;15.972;1.322;0;0;0.623
"R137";2016;Night;1;3.943;0;0;-14.504;0.005;0.005;15.978;1.322;0;0;0.603
"R138";2016;Night;1;3.832;0;0;-14.563;0.004;0.004;15.983;1.322;0;0;0.577
"R139";2016;Night;1;3.727;0;0;-14.62;0.004;0.004;15.987;1.323;0;0;0.57
"R140";2016;Night;1;3.499;0;0;-14.572;0.005;0.005;15.992;1.323;0;0;0.575
"R141";2016;Night;1;3.257;0;0;-14.393;0.004;0.004;15.997;1.322;0;0;0.593
"R142";2016;Night;1;3.006;0;0;-14.445;0.005;0.005;16.002;1.323;0;0;0.599
"R143";2016;Night;1;2.94;0;0;-14.661;0.008;0.008;16.009;1.325;0;0;0.589
"R144";2016;Night;1;3.091;0;0;-14.942;0.009;0.009;16.018;1.326;0;0;0.623
"R145";2016;Night;1;3.364;0;0;-15.299;0.01;0.01;16.028;1.327;0;0;0.724
"R146";2016;Night;1;3.641;0;0;-15.692;0.011;0.011;16.039;1.328;0;0;0.856
"R147";2016;Night;1;3.891;0;0;-16.085;0.012;0.012;16.051;1.329;0;0;0.929
"R148";2016;Night;1;4.084;0;0;-16.339;0.012;0.012;16.064;1.329;0;0;0.955
"R149";2016;Night;1;4.071;0;0;-16.346;0.011;0.011;16.076;1.329;0;0;0.962
"R150";2016;Night;1;3.939;0;0;-16.237;0.01;0.01;16.087;1.328;0;0;0.968
"R151";2016;Night;1;3.865;0;0;-16.188;0.009;0.009;16.097;1.328;0;0;0.973
