"WindPower";"PVPower"
"R1";396.352;0
"R2";417.778;0
"R3";434.581;0
"R4";448.482;0
"R5";465.79;0
"R6";485.96;0
"R7";501.274;0
"R8";489.209;0
"R9";439.592;0
"R10";424.806;0.229
"R11";410.018;3.492
"R12";386.894;5.713
"R13";328.601;4.593
"R14";313.128;0.24
"R15";328.427;0
"R16";360.934;0
"R17";362.346;0
"R18";382.47;0
"R19";408.464;0
"R20";419.045;0
"R21";428.18;0
"R22";432.365;0
"R23";454.846;0
"R24";472.657;0
"R25";541.046;0
"R26";539.11;0
"R27";519.668;0
"R28";530.054;0
"R29";582.691;0
"R30";645.248;0
"R31";681.327;0
"R32";693.6;0
"R33";675.409;0
"R34";661.767;18.417
"R35";657.02;49.772
"R36";675.163;44.947
"R37";655.429;26.902
"R38";663.166;10.933
"R39";693.515;0
"R40";687.584;0
"R41";701.866;0
"R42";723.195;0
"R43";790.187;0
"R44";763.737;0
"R45";736.103;0
"R46";674.249;0
"R47";637.964;0
"R48";645.266;0
"R49";579.628;0
"R50";537.052;0
"R51";516.493;0
"R52";473.322;0
"R53";479.813;0
"R54";439.611;0
"R55";428.996;0
"R56";428.194;0
"R57";437.26;6.096
"R58";419.611;68.717
"R59";383.376;125.248
"R60";349.495;129.213
"R61";326.533;94.267
"R62";335.008;36.453
"R63";303.278;0
"R64";260.552;0
"R65";224.701;0
"R66";200.242;0
"R67";180.828;0
"R68";185.59;0
"R69";168.819;0
"R70";158.702;0
"R71";152.814;0
"R72";145.176;0
"R73";143.302;0
"R74";135.906;0
"R75";125.351;0
"R76";139.494;0
"R77";174.172;0
"R78";204.793;0
"R79";225.222;0
"R80";222.825;0
"R81";211.842;4.789
"R82";209.698;54.566
"R83";217.351;80.373
"R84";206.688;77.479
"R85";204.677;52.728
"R86";230.249;17.11
"R87";243.289;0
"R88";287.875;0
"R89";316.38;0
"R90";309.597;0
"R91";319.052;0
"R92";289.322;0
"R93";247.984;0
"R94";231.665;0
"R95";238.933;0
"R96";265.699;0
"R97";294.557;0
"R98";318.037;0
"R99";327.325;0
"R100";321.157;0
"R101";309.127;0
"R102";296.556;0
"R103";303.276;0
"R104";303.013;0
"R105";312.958;6.233
"R106";317.595;77.29
"R107";283.171;191.884
"R108";211.76;246.95
"R109";189.973;201.021
"R110";227.109;81.117
"R111";280.072;0
"R112";266.013;0
"R113";238.222;0
"R114";212.311;0
"R115";200.136;0
"R116";197.222;0
"R117";193.364;0
"R118";202.483;0
"R119";203.633;0
"R120";202.513;0
"R121";210.826;0
"R122";235.457;0
"R123";259.24;0
"R124";242.63;0
"R125";219.187;0
"R126";199.978;0
"R127";182.48;0
"R128";169.569;0
"R129";157.81;16.215
"R130";153.14;106.642
"R131";156.882;166.061
"R132";115.559;187.031
"R133";103.24;139.123
"R134";125.623;53.674
"R135";135.034;0
"R136";125.535;0
"R137";111.997;0
"R138";100.143;0
"R139";90.118;0
"R140";70.226;0
"R141";50.871;0
"R142";34.896;0
"R143";31.247;0
"R144";39.887;0
"R145";58.956;0
"R146";82.585;0
"R147";107.115;0
"R148";127.138;0
"R149";125.742;0
"R150";111.205;0
"R151";104.024;0
"R152";103.903;0
"R153";106.506;11.638
"R154";116.31;72.877
"R155";134.502;121.74
"R156";128.427;128.523
"R157";127.551;101.015
"R158";176.356;38.013
"R159";241.148;0
"R160";279.532;0
"R161";293.029;0
"R162";292.78;0
"R163";288.584;0
"R164";274.214;0
"R165";246.057;0
"R166";242.822;0
"R167";249.334;0
"R168";260.67;0
"R169";275.495;0
"R170";260.046;0
"R171";237.683;0
"R172";259.251;0
"R173";277.719;0
"R174";327.716;0
"R175";348.732;0
"R176";362.644;0
"R177";373.516;1.508
"R178";383.194;22.101
"R179";337.752;42.339
"R180";328.622;51.597
"R181";328.259;41.865
"R182";375.212;16.768
"R183";426.561;0
"R184";412.907;0
"R185";394.725;0
"R186";383.35;0
"R187";359.386;0
"R188";359.801;0
"R189";371.982;0
"R190";338.332;0
"R191";308.056;0
"R192";337.66;0
"R193";364.319;0
"R194";343.701;0
"R195";329.314;0
"R196";363.879;0
"R197";400.453;0
"R198";420.31;0
"R199";444.784;0
"R200";458.902;0
"R201";480.836;0
"R202";426.421;10.522
"R203";367.064;21.151
"R204";334.862;25.716
"R205";316.998;22.302
"R206";344.95;6.399
"R207";404.673;0
"R208";390.037;0
"R209";398.076;0
"R210";388.928;0
"R211";401.195;0
"R212";441.14;0
"R213";465.781;0
"R214";490.512;0
"R215";633.603;0
"R216";691.158;0
"R217";646.698;0
"R218";561.238;0
"R219";547.692;0
"R220";555.926;0
"R221";533.587;0
"R222";529.678;0
"R223";533.895;0
"R224";491.395;0
"R225";456.257;0
"R226";428.406;2.897
"R227";388.353;9.295
"R228";354.07;12.579
"R229";322.659;9.562
"R230";341.902;2.9
"R231";439.639;0
"R232";609.868;0
"R233";645.524;0
"R234";543.01;0
"R235";454.522;0
"R236";408.241;0
"R237";427.179;0
"R238";420.622;0
"R239";408.96;0
"R240";384.963;0
"R241";352.984;0
"R242";330.574;0
"R243";317.263;0
"R244";346.873;0
"R245";363.02;0
"R246";361.837;0
"R247";355.075;0
"R248";349.88;0
"R249";336.901;0
"R250";312.479;6.738
"R251";267.577;21.304
