,0BGuestDoor,timestamp
0,NOT_PRESENT,2022-01-07 21:09:37.691000+01:00
1,PRESENT,2022-01-08 00:41:52.997000+01:00
2,NOT_PRESENT,2022-01-08 08:55:56.086000+01:00
3,PRESENT,2022-01-08 08:56:17.536000+01:00
4,NOT_PRESENT,2022-01-09 23:07:52.769000+01:00
5,PRESENT,2022-01-09 23:10:22.589000+01:00
6,NOT_PRESENT,2022-01-10 00:16:35.763000+01:00
7,PRESENT,2022-01-10 01:20:17.190000+01:00
8,NOT_PRESENT,2022-01-10 01:20:29.984000+01:00
9,PRESENT,2022-01-10 01:20:42.345000+01:00
10,NOT_PRESENT,2022-01-10 07:30:49.101000+01:00
11,PRESENT,2022-01-10 07:31:02.516000+01:00
12,NOT_PRESENT,2022-01-10 14:39:43.004000+01:00
13,PRESENT,2022-01-11 10:18:55.234000+01:00
14,NOT_PRESENT,2022-01-13 14:09:41.777000+01:00
15,PRESENT,2022-01-13 14:13:59.841000+01:00
16,NOT_PRESENT,2022-01-13 14:17:01.597000+01:00
17,PRESENT,2022-01-14 12:17:26.958000+01:00
18,NOT_PRESENT,2022-01-15 16:27:59.192000+01:00
19,PRESENT,2022-01-15 16:28:36.328000+01:00
20,NOT_PRESENT,2022-01-16 11:26:05.612000+01:00
21,PRESENT,2022-01-16 12:01:17.110000+01:00
22,NOT_PRESENT,2022-01-16 12:13:09.993000+01:00
23,PRESENT,2022-01-16 13:09:46.555000+01:00
24,NOT_PRESENT,2022-01-16 15:28:36.866000+01:00
25,PRESENT,2022-01-16 16:34:07.293000+01:00
26,NOT_PRESENT,2022-01-16 16:39:37.125000+01:00
27,PRESENT,2022-01-16 17:51:30.849000+01:00
28,NOT_PRESENT,2022-01-16 17:51:55.133000+01:00
29,PRESENT,2022-01-16 17:52:03.794000+01:00
30,NOT_PRESENT,2022-01-17 17:18:31.068000+01:00
31,PRESENT,2022-01-17 22:17:55.384000+01:00
32,NOT_PRESENT,2022-01-18 08:46:04.354000+01:00
33,PRESENT,2022-01-18 08:46:06.930000+01:00
34,NOT_PRESENT,2022-01-19 09:43:22.589000+01:00
35,PRESENT,2022-01-19 09:43:29.890000+01:00
36,NOT_PRESENT,2022-01-21 23:35:15.134000+01:00
37,PRESENT,2022-01-22 02:16:21.653000+01:00
38,NOT_PRESENT,2022-01-22 02:30:46.903000+01:00
39,PRESENT,2022-01-22 08:19:17.753000+01:00
40,NOT_PRESENT,2022-01-22 08:31:23.803000+01:00
41,PRESENT,2022-01-22 12:49:46.511000+01:00
42,NOT_PRESENT,2022-01-22 13:02:09.483000+01:00
43,PRESENT,2022-01-22 13:43:28.322000+01:00
44,NOT_PRESENT,2022-01-22 17:35:47.009000+01:00
45,PRESENT,2022-01-22 17:45:18.875000+01:00
46,NOT_PRESENT,2022-01-22 18:41:44.653000+01:00
47,PRESENT,2022-01-23 18:25:08.477000+01:00
48,NOT_PRESENT,2022-01-23 23:27:09.340000+01:00
49,PRESENT,2022-01-24 08:12:30.706000+01:00
50,NOT_PRESENT,2022-01-24 16:40:21.785000+01:00
51,PRESENT,2022-01-24 16:40:37.422000+01:00
52,NOT_PRESENT,2022-01-24 16:57:02.021000+01:00
53,PRESENT,2022-01-24 16:57:08.642000+01:00
54,NOT_PRESENT,2022-01-24 21:55:43.850000+01:00
55,PRESENT,2022-01-25 08:00:26.099000+01:00
56,NOT_PRESENT,2022-01-25 12:27:23.989000+01:00
57,PRESENT,2022-01-25 12:27:43.745000+01:00
58,NOT_PRESENT,2022-01-25 14:01:29.609000+01:00
59,PRESENT,2022-01-25 15:00:01.914000+01:00
60,NOT_PRESENT,2022-01-25 21:19:36.625000+01:00
61,PRESENT,2022-01-25 23:46:55.484000+01:00
62,NOT_PRESENT,2022-01-26 07:56:21.690000+01:00
63,PRESENT,2022-01-26 07:56:31.026000+01:00
64,NOT_PRESENT,2022-01-26 09:14:54.105000+01:00
65,PRESENT,2022-01-26 10:34:26.779000+01:00
66,NOT_PRESENT,2022-01-26 17:53:28.265000+01:00
67,PRESENT,2022-01-26 23:57:50.651000+01:00
68,NOT_PRESENT,2022-01-27 12:16:25.674000+01:00
69,PRESENT,2022-01-27 12:17:58.201000+01:00
70,NOT_PRESENT,2022-01-27 12:19:03.732000+01:00
71,PRESENT,2022-01-27 12:19:48.317000+01:00
72,NOT_PRESENT,2022-01-27 12:20:34.873000+01:00
73,PRESENT,2022-01-27 12:23:17.196000+01:00
