,0BRoom,timestamp
0,16.2,2022-01-07 21:03:18.780000+01:00
1,16.4,2022-01-07 21:19:00.410000+01:00
2,16.8,2022-01-07 21:34:40.565000+01:00
3,17.25,2022-01-07 21:50:18.984000+01:00
4,17.1,2022-01-07 22:05:56.511000+01:00
5,17.35,2022-01-07 22:21:33.666000+01:00
6,17.35,2022-01-07 22:37:10.572000+01:00
7,17.3,2022-01-07 22:52:47.417000+01:00
8,17.6,2022-01-07 23:08:23.861000+01:00
9,17.6,2022-01-07 23:24:00.142000+01:00
10,17.7,2022-01-07 23:39:36.107000+01:00
11,17.7,2022-01-07 23:55:11.418000+01:00
12,18.05,2022-01-08 00:10:45.620000+01:00
13,18.15,2022-01-08 00:26:18.915000+01:00
14,18.2,2022-01-08 00:41:51.968000+01:00
15,17.95,2022-01-08 00:57:25.483000+01:00
16,17.75,2022-01-08 01:12:59.914000+01:00
17,17.55,2022-01-08 01:28:35.177000+01:00
18,17.5,2022-01-08 01:44:11.043000+01:00
19,17.25,2022-01-08 01:59:47.532000+01:00
20,17.2,2022-01-08 02:15:24.875000+01:00
21,16.95,2022-01-08 02:31:02.672000+01:00
22,16.8,2022-01-08 02:46:41.387000+01:00
23,16.9,2022-01-08 03:02:20.669000+01:00
24,16.6,2022-01-08 03:18:00.192000+01:00
25,16.55,2022-01-08 03:33:40.144000+01:00
26,16.45,2022-01-08 03:49:20.614000+01:00
27,16.35,2022-01-08 04:05:01.379000+01:00
28,16.3,2022-01-08 04:20:42.434000+01:00
29,16.3,2022-01-08 04:36:23.727000+01:00
30,16.2,2022-01-08 04:52:05.333000+01:00
31,16.15,2022-01-08 05:07:47.149000+01:00
32,16.1,2022-01-08 05:23:29.176000+01:00
33,16.1,2022-01-08 05:39:11.511000+01:00
34,16.05,2022-01-08 05:54:54.002000+01:00
35,16.0,2022-01-08 06:10:36.651000+01:00
36,15.95,2022-01-08 06:26:19.329000+01:00
37,15.9,2022-01-08 06:42:02.182000+01:00
38,15.9,2022-01-08 06:57:45.404000+01:00
39,15.85,2022-01-08 07:13:28.625000+01:00
40,15.8,2022-01-08 07:29:12.013000+01:00
41,15.8,2022-01-08 07:44:55.371000+01:00
42,15.75,2022-01-08 08:00:38.732000+01:00
43,15.75,2022-01-08 08:16:22.236000+01:00
44,15.7,2022-01-08 08:32:05.918000+01:00
45,15.7,2022-01-08 08:47:49.519000+01:00
46,15.75,2022-01-08 09:03:33.087000+01:00
47,15.65,2022-01-08 09:19:16.745000+01:00
48,15.7,2022-01-08 09:35:00.470000+01:00
49,15.7,2022-01-08 09:50:44.144000+01:00
50,15.7,2022-01-08 10:06:27.990000+01:00
51,15.7,2022-01-08 10:22:11.748000+01:00
52,15.65,2022-01-08 10:37:55.664000+01:00
53,15.65,2022-01-08 10:53:39.615000+01:00
54,15.65,2022-01-08 11:09:23.761000+01:00
55,15.65,2022-01-08 11:25:07.933000+01:00
56,15.65,2022-01-08 11:40:51.954000+01:00
57,15.6,2022-01-08 11:56:35.917000+01:00
58,15.6,2022-01-08 12:12:20.066000+01:00
59,15.6,2022-01-08 12:28:04.209000+01:00
60,15.6,2022-01-08 12:43:48.343000+01:00
61,15.6,2022-01-08 12:59:32.531000+01:00
62,15.6,2022-01-08 13:15:16.677000+01:00
63,15.6,2022-01-08 13:31:00.792000+01:00
64,15.6,2022-01-08 13:46:44.754000+01:00
65,15.6,2022-01-08 14:02:28.738000+01:00
66,15.55,2022-01-08 14:18:12.867000+01:00
67,15.55,2022-01-08 14:33:57.093000+01:00
68,15.4,2022-01-08 14:49:41.710000+01:00
69,15.0,2022-01-08 15:05:28.223000+01:00
70,15.1,2022-01-08 15:21:14.958000+01:00
71,15.15,2022-01-08 15:37:01.093000+01:00
72,15.1,2022-01-08 15:52:47.242000+01:00
73,15.15,2022-01-08 16:08:33.468000+01:00
74,15.15,2022-01-08 16:24:19.527000+01:00
75,15.1,2022-01-08 16:40:05.840000+01:00
76,15.1,2022-01-08 16:55:52.332000+01:00
77,15.05,2022-01-08 17:11:38.901000+01:00
78,15.05,2022-01-08 17:27:25.780000+01:00
79,15.05,2022-01-08 17:43:12.696000+01:00
80,15.05,2022-01-08 17:58:59.834000+01:00
81,15.05,2022-01-08 18:14:46.850000+01:00
82,15.05,2022-01-08 18:30:33.925000+01:00
83,15.0,2022-01-08 18:46:21.010000+01:00
84,15.0,2022-01-08 19:02:08.183000+01:00
85,15.05,2022-01-08 19:17:55.289000+01:00
86,15.0,2022-01-08 19:33:42.681000+01:00
87,14.95,2022-01-08 19:49:30.037000+01:00
88,15.0,2022-01-08 20:05:17.426000+01:00
89,14.95,2022-01-08 20:21:04.649000+01:00
90,14.75,2022-01-08 20:36:52.080000+01:00
91,14.5,2022-01-08 20:52:40.934000+01:00
92,14.25,2022-01-08 21:08:30.783000+01:00
93,14.35,2022-01-08 21:24:20.856000+01:00
94,14.35,2022-01-08 21:40:10.519000+01:00
95,14.0,2022-01-08 21:56:01.352000+01:00
96,13.8,2022-01-08 22:11:53.276000+01:00
97,13.75,2022-01-08 22:27:45.844000+01:00
98,13.95,2022-01-08 22:43:37.451000+01:00
99,14.05,2022-01-08 22:59:28.621000+01:00
100,14.1,2022-01-08 23:15:19.362000+01:00
101,14.15,2022-01-08 23:31:09.768000+01:00
102,14.25,2022-01-08 23:46:59.861000+01:00
103,14.2,2022-01-09 00:02:49.766000+01:00
104,14.3,2022-01-09 00:18:39.705000+01:00
105,14.4,2022-01-09 00:34:29.454000+01:00
