,0BTFloor,timestamp
0,19.5,2022-01-07 20:59:00.423000+01:00
1,19.6,2022-01-07 21:14:00.626000+01:00
2,19.7,2022-01-07 21:29:00.685000+01:00
3,19.75,2022-01-07 21:44:01.910000+01:00
4,19.8,2022-01-07 21:59:02.496000+01:00
5,19.75,2022-01-07 22:14:03.292000+01:00
6,19.7,2022-01-07 22:29:04.042000+01:00
7,19.7,2022-01-07 22:44:04.800000+01:00
8,19.65,2022-01-07 22:59:05.641000+01:00
9,19.65,2022-01-07 23:14:06.588000+01:00
10,19.6,2022-01-07 23:29:06.802000+01:00
11,19.65,2022-01-07 23:44:06.589000+01:00
12,19.7,2022-01-07 23:59:06.467000+01:00
13,19.65,2022-01-08 00:14:06.580000+01:00
14,19.5,2022-01-08 00:29:06.727000+01:00
15,19.5,2022-01-08 00:44:07.082000+01:00
16,19.45,2022-01-08 00:59:07.556000+01:00
17,19.5,2022-01-08 01:14:07.951000+01:00
18,19.45,2022-01-08 01:29:08.405000+01:00
19,19.4,2022-01-08 01:44:09.507000+01:00
20,19.35,2022-01-08 01:59:10.870000+01:00
21,19.3,2022-01-08 02:14:12.435000+01:00
22,19.3,2022-01-08 02:29:13.809000+01:00
23,19.25,2022-01-08 02:44:15.023000+01:00
24,19.2,2022-01-08 02:59:16.599000+01:00
25,19.1,2022-01-08 03:14:18.263000+01:00
26,19.1,2022-01-08 03:29:20.235000+01:00
27,19.05,2022-01-08 03:44:22.342000+01:00
28,19.0,2022-01-08 03:59:24.641000+01:00
29,19.0,2022-01-08 04:14:26.936000+01:00
30,18.9,2022-01-08 04:29:29.124000+01:00
31,18.9,2022-01-08 04:44:31.594000+01:00
32,18.85,2022-01-08 04:59:34.479000+01:00
33,18.8,2022-01-08 05:14:37.562000+01:00
34,18.8,2022-01-08 05:29:40.197000+01:00
35,18.7,2022-01-08 05:44:43.208000+01:00
36,18.7,2022-01-08 05:59:46.431000+01:00
37,18.6,2022-01-08 06:14:49.803000+01:00
38,18.7,2022-01-08 06:29:53.298000+01:00
39,18.55,2022-01-08 06:44:56.849000+01:00
40,18.45,2022-01-08 07:00:00.534000+01:00
41,18.45,2022-01-08 07:15:04.530000+01:00
42,18.4,2022-01-08 07:30:08.484000+01:00
43,18.35,2022-01-08 07:45:12.725000+01:00
44,18.35,2022-01-08 08:00:17.181000+01:00
45,18.25,2022-01-08 08:15:21.773000+01:00
46,18.2,2022-01-08 08:30:26.435000+01:00
47,18.15,2022-01-08 08:45:31.414000+01:00
48,18.15,2022-01-08 09:00:36.327000+01:00
49,18.1,2022-01-08 09:15:41.272000+01:00
50,18.05,2022-01-08 09:30:46.523000+01:00
51,18.05,2022-01-08 09:45:51.862000+01:00
52,18.0,2022-01-08 10:00:57.355000+01:00
53,17.95,2022-01-08 10:16:03.145000+01:00
54,17.95,2022-01-08 10:31:09.139000+01:00
55,17.9,2022-01-08 10:46:15.121000+01:00
56,17.9,2022-01-08 11:01:21.133000+01:00
57,17.85,2022-01-08 11:16:27.335000+01:00
58,17.8,2022-01-08 11:31:33.425000+01:00
59,17.75,2022-01-08 11:46:39.653000+01:00
60,17.7,2022-01-08 12:01:45.902000+01:00
61,17.65,2022-01-08 12:16:52.310000+01:00
62,17.65,2022-01-08 12:31:58.912000+01:00
63,17.65,2022-01-08 12:47:05.499000+01:00
64,17.55,2022-01-08 13:02:12.176000+01:00
65,17.55,2022-01-08 13:17:19.003000+01:00
66,17.5,2022-01-08 13:32:25.755000+01:00
67,17.45,2022-01-08 13:47:32.890000+01:00
68,17.45,2022-01-08 14:02:40.061000+01:00
69,17.45,2022-01-08 14:17:47.397000+01:00
70,17.35,2022-01-08 14:32:54.663000+01:00
71,17.35,2022-01-08 14:48:02.051000+01:00
72,17.3,2022-01-08 15:03:09.715000+01:00
73,17.25,2022-01-08 15:18:17.354000+01:00
74,17.25,2022-01-08 15:33:25.249000+01:00
75,17.2,2022-01-08 15:48:33.002000+01:00
76,17.2,2022-01-08 16:03:40.953000+01:00
77,17.15,2022-01-08 16:18:49.143000+01:00
