,0BathroomWater,timestamp
0,PRESENT,2022-01-07 23:17:39.971000+01:00
1,NOT_PRESENT,2022-01-07 23:17:41.653000+01:00
2,PRESENT,2022-01-15 13:25:14.402000+01:00
3,NOT_PRESENT,2022-01-15 13:25:15.672000+01:00
4,PRESENT,2022-01-25 12:18:57.382000+01:00
5,NOT_PRESENT,2022-01-25 12:18:58.664000+01:00
6,PRESENT,2022-01-25 12:19:02.160000+01:00
7,NOT_PRESENT,2022-01-25 12:19:13.479000+01:00
8,PRESENT,2022-01-25 12:19:20.266000+01:00
9,NOT_PRESENT,2022-01-25 12:19:49.880000+01:00
10,PRESENT,2022-01-25 12:20:23.893000+01:00
11,NOT_PRESENT,2022-01-25 12:20:29.291000+01:00
12,PRESENT,2022-01-25 12:20:31.607000+01:00
13,NOT_PRESENT,2022-01-25 12:20:44.867000+01:00
14,PRESENT,2022-01-25 12:20:47.180000+01:00
15,NOT_PRESENT,2022-01-25 12:20:54.098000+01:00
16,PRESENT,2022-01-25 12:20:58.359000+01:00
17,NOT_PRESENT,2022-01-25 12:21:00.274000+01:00
18,PRESENT,2022-01-25 12:21:08.900000+01:00
19,NOT_PRESENT,2022-01-25 12:21:10.175000+01:00
20,PRESENT,2022-01-25 12:21:54.449000+01:00
21,NOT_PRESENT,2022-01-25 12:22:01.578000+01:00
22,PRESENT,2022-01-25 12:25:19.484000+01:00
23,NOT_PRESENT,2022-01-25 12:25:20.763000+01:00
24,PRESENT,2022-01-29 11:06:23.322000+01:00
25,NOT_PRESENT,2022-01-29 13:32:35.950000+01:00
0,PRESENT,2022-02-09 09:41:50.298000+01:00
1,NOT_PRESENT,2022-02-09 09:42:15.956000+01:00
2,PRESENT,2022-02-09 09:43:00.616000+01:00
3,NOT_PRESENT,2022-02-09 09:43:18.652000+01:00
4,PRESENT,2022-02-09 09:43:21.639000+01:00
5,NOT_PRESENT,2022-02-09 09:43:29.637000+01:00
6,PRESENT,2022-02-09 09:43:39.926000+01:00
7,NOT_PRESENT,2022-02-09 09:43:43.413000+01:00
8,PRESENT,2022-02-09 09:43:47.774000+01:00
9,NOT_PRESENT,2022-02-09 09:43:49.038000+01:00
10,PRESENT,2022-02-09 09:43:51.366000+01:00
11,NOT_PRESENT,2022-02-09 09:43:52.627000+01:00
12,PRESENT,2022-02-09 09:44:29.031000+01:00
13,NOT_PRESENT,2022-02-09 09:45:19.397000+01:00
14,PRESENT,2022-02-09 09:45:21.091000+01:00
15,NOT_PRESENT,2022-02-09 09:45:24.649000+01:00
16,PRESENT,2022-02-09 09:45:29.761000+01:00
17,NOT_PRESENT,2022-02-09 09:45:31.963000+01:00
18,PRESENT,2022-02-09 09:45:41.103000+01:00
19,NOT_PRESENT,2022-02-09 09:45:42.399000+01:00
20,PRESENT,2022-02-09 09:45:47.446000+01:00
21,NOT_PRESENT,2022-02-09 09:45:48.742000+01:00
22,PRESENT,2022-02-09 09:45:51.341000+01:00
23,NOT_PRESENT,2022-02-09 09:45:52.635000+01:00
24,PRESENT,2022-02-09 09:45:55.896000+01:00
25,NOT_PRESENT,2022-02-09 09:45:57.853000+01:00
26,PRESENT,2022-02-09 09:46:02.021000+01:00
27,NOT_PRESENT,2022-02-09 09:46:03.315000+01:00
28,PRESENT,2022-02-09 09:46:08.829000+01:00
29,NOT_PRESENT,2022-02-09 09:46:12.800000+01:00
30,PRESENT,2022-02-09 09:46:20.321000+01:00
31,NOT_PRESENT,2022-02-09 09:46:21.615000+01:00
32,PRESENT,2022-02-09 09:46:41.938000+01:00
33,NOT_PRESENT,2022-02-09 09:46:43.233000+01:00
0,PRESENT,2022-02-28 10:16:07.886000+01:00
1,NOT_PRESENT,2022-02-28 10:16:09.149000+01:00
2,PRESENT,2022-02-28 10:16:11.480000+01:00
3,NOT_PRESENT,2022-02-28 10:16:12.740000+01:00
4,PRESENT,2022-02-28 10:16:28.472000+01:00
5,NOT_PRESENT,2022-02-28 10:16:29.735000+01:00
6,PRESENT,2022-02-28 10:16:32.066000+01:00
7,NOT_PRESENT,2022-02-28 10:16:38.011000+01:00
8,PRESENT,2022-02-28 10:16:45.890000+01:00
9,NOT_PRESENT,2022-02-28 10:16:56.749000+01:00
10,PRESENT,2022-02-28 10:17:03.305000+01:00
11,NOT_PRESENT,2022-02-28 10:17:04.574000+01:00
