,1Entrance1,timestamp
0,21.2,2022-01-07 20:55:47.417000+01:00
1,21.15,2022-01-07 21:12:25.921000+01:00
2,21.1,2022-01-07 21:29:04.563000+01:00
3,21.1,2022-01-07 21:45:43.151000+01:00
4,21.05,2022-01-07 22:02:21.892000+01:00
5,21.2,2022-01-07 22:19:00.614000+01:00
6,21.2,2022-01-07 22:35:39.190000+01:00
7,21.25,2022-01-07 22:52:17.847000+01:00
8,21.1,2022-01-07 23:08:56.490000+01:00
9,21.05,2022-01-07 23:25:35.641000+01:00
10,21.25,2022-01-07 23:42:14.369000+01:00
11,21.35,2022-01-07 23:58:52.869000+01:00
12,21.25,2022-01-08 00:15:31.018000+01:00
13,21.3,2022-01-08 00:32:09.245000+01:00
14,21.3,2022-01-08 00:48:47.484000+01:00
15,21.3,2022-01-08 01:03:22.295000+01:00
16,21.2,2022-01-08 01:20:00.318000+01:00
17,21.05,2022-01-08 01:36:38.572000+01:00
18,21.1,2022-01-08 01:53:17.256000+01:00
19,21.05,2022-01-08 02:09:56.439000+01:00
20,20.95,2022-01-08 02:26:35.713000+01:00
21,21.0,2022-01-08 02:43:15.017000+01:00
22,20.95,2022-01-08 02:59:54.448000+01:00
23,20.9,2022-01-08 03:16:33.412000+01:00
24,20.95,2022-01-08 03:33:11.981000+01:00
25,20.9,2022-01-08 03:49:50.548000+01:00
26,20.9,2022-01-08 04:06:29.299000+01:00
27,21.1,2022-01-08 04:23:07.921000+01:00
28,20.95,2022-01-08 04:39:46.601000+01:00
29,20.9,2022-01-08 04:56:25.183000+01:00
30,20.95,2022-01-08 05:13:03.822000+01:00
31,20.9,2022-01-08 05:29:42.735000+01:00
32,20.8,2022-01-08 05:46:21.670000+01:00
33,20.85,2022-01-08 06:03:00.641000+01:00
34,20.8,2022-01-08 06:19:39.682000+01:00
35,20.8,2022-01-08 06:36:18.888000+01:00
36,20.75,2022-01-08 06:52:58.035000+01:00
37,20.6,2022-01-08 07:09:37.480000+01:00
38,20.55,2022-01-08 07:26:17.091000+01:00
39,20.5,2022-01-08 07:42:57.045000+01:00
40,20.55,2022-01-08 07:57:33.954000+01:00
41,21.45,2022-01-08 08:14:13.292000+01:00
42,21.55,2022-01-08 08:30:49.933000+01:00
43,21.5,2022-01-08 08:47:26.805000+01:00
44,21.6,2022-01-08 09:04:03.527000+01:00
45,21.8,2022-01-08 09:20:39.772000+01:00
46,21.85,2022-01-08 09:37:15.723000+01:00
47,21.8,2022-01-08 09:53:51.002000+01:00
48,21.9,2022-01-08 10:08:23.758000+01:00
49,21.85,2022-01-08 10:24:59.002000+01:00
50,21.8,2022-01-08 10:41:34.493000+01:00
51,21.7,2022-01-08 10:58:10.279000+01:00
52,21.8,2022-01-08 11:14:46.019000+01:00
53,21.7,2022-01-08 11:31:22.161000+01:00
54,21.65,2022-01-08 11:45:55.570000+01:00
