,1GuestRoom,timestamp
0,16.25,2022-01-07 20:58:35.845000+01:00
1,16.35,2022-01-07 21:13:00.277000+01:00
2,16.4,2022-01-07 21:27:24.244000+01:00
3,16.5,2022-01-07 21:41:48.011000+01:00
4,16.6,2022-01-07 21:58:19.602000+01:00
5,16.6,2022-01-07 22:12:43.347000+01:00
6,16.65,2022-01-07 22:29:14.727000+01:00
7,16.7,2022-01-07 22:43:38.403000+01:00
8,16.7,2022-01-07 23:00:09.937000+01:00
9,16.7,2022-01-07 23:14:33.450000+01:00
10,16.75,2022-01-07 23:31:04.699000+01:00
11,16.8,2022-01-07 23:45:27.695000+01:00
12,16.85,2022-01-07 23:59:50.641000+01:00
13,16.8,2022-01-08 00:14:13.637000+01:00
14,16.9,2022-01-08 00:30:44.400000+01:00
15,16.85,2022-01-08 00:45:07.071000+01:00
16,16.9,2022-01-08 01:01:37.465000+01:00
17,17.0,2022-01-08 01:15:59.872000+01:00
18,16.8,2022-01-08 01:32:30.387000+01:00
19,16.75,2022-01-08 01:46:53.224000+01:00
20,16.7,2022-01-08 02:03:24.253000+01:00
21,16.65,2022-01-08 02:17:47.240000+01:00
22,16.65,2022-01-08 02:32:10.355000+01:00
23,16.6,2022-01-08 02:48:41.729000+01:00
24,16.5,2022-01-08 03:03:05.361000+01:00
25,16.5,2022-01-08 03:19:36.916000+01:00
26,16.55,2022-01-08 03:34:00.676000+01:00
27,16.4,2022-01-08 03:50:32.995000+01:00
28,16.4,2022-01-08 04:04:56.430000+01:00
29,16.35,2022-01-08 04:21:28.481000+01:00
30,16.35,2022-01-08 04:35:52.477000+01:00
31,16.35,2022-01-08 04:50:16.516000+01:00
32,16.3,2022-01-08 05:06:48.578000+01:00
33,16.35,2022-01-08 05:21:12.669000+01:00
34,16.35,2022-01-08 05:35:36.809000+01:00
35,16.35,2022-01-08 05:52:09.264000+01:00
36,16.25,2022-01-08 06:06:33.561000+01:00
37,16.25,2022-01-08 06:20:58.021000+01:00
38,16.2,2022-01-08 06:37:30.697000+01:00
39,16.15,2022-01-08 06:51:55.230000+01:00
40,16.15,2022-01-08 07:08:28.008000+01:00
41,16.15,2022-01-08 07:22:53.321000+01:00
42,16.15,2022-01-08 07:39:25.793000+01:00
43,16.1,2022-01-08 07:53:50.594000+01:00
44,16.1,2022-01-08 08:08:15.317000+01:00
45,16.3,2022-01-08 08:24:47.966000+01:00
46,16.2,2022-01-08 08:39:12.214000+01:00
47,16.0,2022-01-08 08:55:45.777000+01:00
48,15.8,2022-01-08 09:10:10.778000+01:00
49,15.65,2022-01-08 09:26:45.179000+01:00
50,15.6,2022-01-08 09:41:11.751000+01:00
51,15.4,2022-01-08 09:57:47.018000+01:00
52,15.35,2022-01-08 10:12:13.999000+01:00
53,15.2,2022-01-08 10:26:41.365000+01:00
54,15.1,2022-01-08 10:41:08.817000+01:00
55,15.1,2022-01-08 10:57:45.652000+01:00
56,15.05,2022-01-08 11:12:13.792000+01:00
57,15.0,2022-01-08 11:26:41.984000+01:00
58,14.9,2022-01-08 11:43:19.299000+01:00
59,14.95,2022-01-08 11:57:48.104000+01:00
60,14.75,2022-01-08 12:12:17.586000+01:00
61,14.7,2022-01-08 12:26:46.441000+01:00
62,14.6,2022-01-08 12:41:15.786000+01:00
63,14.6,2022-01-08 12:55:45.154000+01:00
64,14.55,2022-01-08 13:12:23.602000+01:00
65,14.6,2022-01-08 13:26:53.340000+01:00
66,14.4,2022-01-08 13:43:32.341000+01:00
67,14.4,2022-01-08 13:58:02.401000+01:00
68,14.35,2022-01-08 14:12:32.598000+01:00
69,14.35,2022-01-08 14:27:02.692000+01:00
70,14.4,2022-01-08 14:41:33.064000+01:00
71,14.15,2022-01-08 14:56:03.541000+01:00
72,14.1,2022-01-08 15:10:34.391000+01:00
73,14.1,2022-01-08 15:25:05.630000+01:00
74,14.0,2022-01-08 15:39:37.073000+01:00
75,13.85,2022-01-08 15:54:08.573000+01:00
76,13.85,2022-01-08 16:08:40.326000+01:00
77,13.85,2022-01-08 16:23:12.273000+01:00
78,13.75,2022-01-08 16:37:44.266000+01:00
