,1MainRoom,timestamp
0,14.9,2022-01-07 20:59:22.583000+01:00
1,15.25,2022-01-07 21:15:38.175000+01:00
2,15.3,2022-01-07 21:31:53.455000+01:00
3,15.4,2022-01-07 21:48:08.227000+01:00
4,15.5,2022-01-07 22:04:22.739000+01:00
5,15.45,2022-01-07 22:20:37.223000+01:00
6,15.5,2022-01-07 22:36:51.533000+01:00
7,15.5,2022-01-07 22:53:06.057000+01:00
8,15.65,2022-01-07 23:09:20.423000+01:00
9,15.8,2022-01-07 23:25:34.301000+01:00
10,15.4,2022-01-07 23:41:48.694000+01:00
11,15.25,2022-01-07 23:58:03.966000+01:00
12,15.25,2022-01-08 00:14:19.681000+01:00
13,15.25,2022-01-08 00:30:35.459000+01:00
14,15.25,2022-01-08 00:46:51.561000+01:00
15,15.2,2022-01-08 01:03:07.292000+01:00
16,15.6,2022-01-08 01:19:22.404000+01:00
17,15.75,2022-01-08 01:35:36.603000+01:00
18,15.8,2022-01-08 01:51:50.258000+01:00
19,15.9,2022-01-08 02:08:03.618000+01:00
20,15.9,2022-01-08 02:24:16.780000+01:00
21,15.95,2022-01-08 02:40:29.637000+01:00
22,16.0,2022-01-08 02:56:42.389000+01:00
23,16.05,2022-01-08 03:12:55.297000+01:00
24,16.0,2022-01-08 03:29:08.207000+01:00
25,16.0,2022-01-08 03:45:21.051000+01:00
26,16.15,2022-01-08 04:01:33.736000+01:00
27,16.1,2022-01-08 04:17:46.343000+01:00
28,16.1,2022-01-08 04:33:59.094000+01:00
29,16.2,2022-01-08 04:50:12.140000+01:00
30,16.15,2022-01-08 05:06:25.299000+01:00
31,16.2,2022-01-08 05:22:37.889000+01:00
32,16.25,2022-01-08 05:38:49.903000+01:00
33,16.2,2022-01-08 05:55:02.313000+01:00
34,16.15,2022-01-08 06:11:14.887000+01:00
35,16.1,2022-01-08 06:27:27.506000+01:00
36,16.1,2022-01-08 06:43:40.357000+01:00
37,16.1,2022-01-08 06:59:53.322000+01:00
38,16.05,2022-01-08 07:16:06.281000+01:00
39,16.1,2022-01-08 07:32:19.138000+01:00
40,16.05,2022-01-08 07:48:31.820000+01:00
41,16.2,2022-01-08 08:04:44.241000+01:00
42,15.65,2022-01-08 08:20:57.717000+01:00
43,15.35,2022-01-08 08:37:12.367000+01:00
44,15.15,2022-01-08 08:53:28.282000+01:00
45,15.05,2022-01-08 09:09:44.765000+01:00
46,14.75,2022-01-08 09:26:01.833000+01:00
47,14.65,2022-01-08 09:42:19.334000+01:00
48,14.5,2022-01-08 09:58:37.415000+01:00
49,14.35,2022-01-08 10:14:55.900000+01:00
50,14.25,2022-01-08 10:31:14.706000+01:00
51,14.15,2022-01-08 10:47:33.774000+01:00
52,14.05,2022-01-08 11:03:53.348000+01:00
53,13.95,2022-01-08 11:20:13.518000+01:00
54,13.8,2022-01-08 11:36:34.054000+01:00
55,13.75,2022-01-08 11:52:54.662000+01:00
56,13.65,2022-01-08 12:09:15.638000+01:00
57,13.55,2022-01-08 12:25:36.796000+01:00
58,13.45,2022-01-08 12:41:58.184000+01:00
59,13.45,2022-01-08 12:58:19.919000+01:00
60,13.3,2022-01-08 13:14:41.908000+01:00
61,13.25,2022-01-08 13:31:04.163000+01:00
62,13.2,2022-01-08 13:47:26.338000+01:00
63,13.2,2022-01-08 14:03:48.495000+01:00
64,13.05,2022-01-08 14:20:11.117000+01:00
65,13.0,2022-01-08 14:36:33.941000+01:00
66,12.8,2022-01-08 14:52:57.366000+01:00
67,12.7,2022-01-08 15:09:21.376000+01:00
68,12.55,2022-01-08 15:25:45.554000+01:00
69,12.55,2022-01-08 15:42:10.028000+01:00
70,12.45,2022-01-08 15:58:34.880000+01:00
71,12.4,2022-01-08 16:14:59.781000+01:00
72,12.3,2022-01-08 16:31:24.918000+01:00
73,12.3,2022-01-08 16:47:50.365000+01:00
74,12.25,2022-01-08 17:04:15.995000+01:00
75,12.2,2022-01-08 17:20:41.702000+01:00
76,12.15,2022-01-08 17:37:07.521000+01:00
77,12.1,2022-01-08 17:53:33.642000+01:00
78,12.35,2022-01-08 18:10:00.109000+01:00
79,13.6,2022-01-08 18:26:22.603000+01:00
80,14.05,2022-01-08 18:42:42.652000+01:00
81,14.2,2022-01-08 18:59:01.680000+01:00
82,14.45,2022-01-08 19:15:19.863000+01:00
83,14.7,2022-01-08 19:31:37.012000+01:00
84,14.75,2022-01-08 19:47:53.812000+01:00
85,14.85,2022-01-08 20:04:10.304000+01:00
86,14.9,2022-01-08 20:20:26.815000+01:00
87,14.75,2022-01-08 20:36:43.428000+01:00
88,14.65,2022-01-08 20:53:00.545000+01:00
89,14.6,2022-01-08 21:09:17.971000+01:00
90,14.7,2022-01-08 21:25:35.400000+01:00
91,14.75,2022-01-08 21:41:52.407000+01:00
92,14.75,2022-01-08 21:58:09.481000+01:00
93,14.25,2022-01-08 22:14:27.328000+01:00
94,14.05,2022-01-08 22:30:46.554000+01:00
95,14.1,2022-01-08 22:47:05.825000+01:00
96,14.0,2022-01-08 23:03:24.908000+01:00
97,14.4,2022-01-08 23:19:43.800000+01:00
98,14.7,2022-01-08 23:36:01.246000+01:00
99,14.75,2022-01-08 23:52:18.311000+01:00
100,14.8,2022-01-09 00:08:35.139000+01:00
101,14.8,2022-01-09 00:24:51.805000+01:00
102,14.9,2022-01-09 00:41:08.302000+01:00
103,15.05,2022-01-09 00:57:24.738000+01:00
104,15.05,2022-01-09 01:13:41.271000+01:00
105,15.1,2022-01-09 01:29:57.624000+01:00
106,15.15,2022-01-09 01:46:13.617000+01:00
107,15.2,2022-01-09 02:02:29.438000+01:00
108,15.2,2022-01-09 02:18:45.037000+01:00
109,15.2,2022-01-09 02:35:00.536000+01:00
110,15.2,2022-01-09 02:51:16.230000+01:00
111,15.25,2022-01-09 03:07:31.792000+01:00
112,15.2,2022-01-09 03:23:47.318000+01:00
113,15.25,2022-01-09 03:40:02.861000+01:00
114,15.2,2022-01-09 03:56:18.246000+01:00
115,15.25,2022-01-09 04:12:33.349000+01:00
116,15.25,2022-01-09 04:28:48.588000+01:00
117,15.25,2022-01-09 04:45:04.053000+01:00
118,15.25,2022-01-09 05:01:19.664000+01:00
119,15.25,2022-01-09 05:17:35.176000+01:00
120,15.2,2022-01-09 05:33:50.644000+01:00
121,15.2,2022-01-09 05:50:06.146000+01:00
122,15.25,2022-01-09 06:06:21.674000+01:00
123,15.25,2022-01-09 06:22:37.274000+01:00
124,15.25,2022-01-09 06:38:52.875000+01:00
125,15.25,2022-01-09 06:55:08.432000+01:00
126,15.25,2022-01-09 07:11:23.783000+01:00
127,14.95,2022-01-09 07:27:39.316000+01:00
128,14.6,2022-01-09 07:43:56.243000+01:00
129,14.35,2022-01-09 08:00:14.209000+01:00
130,14.2,2022-01-09 08:16:33.046000+01:00
131,14.1,2022-01-09 08:32:52.274000+01:00
132,13.95,2022-01-09 08:49:11.998000+01:00
133,13.75,2022-01-09 09:05:32.144000+01:00
134,13.65,2022-01-09 09:21:52.593000+01:00
135,13.6,2022-01-09 09:38:13.457000+01:00
136,13.45,2022-01-09 09:54:34.464000+01:00
137,13.6,2022-01-09 10:10:55.795000+01:00
138,13.6,2022-01-09 10:27:16.454000+01:00
139,13.45,2022-01-09 10:43:37.962000+01:00
140,13.3,2022-01-09 11:00:00.015000+01:00
141,13.25,2022-01-09 11:16:22.401000+01:00
142,13.2,2022-01-09 11:32:44.939000+01:00
143,13.1,2022-01-09 11:49:07.639000+01:00
144,13.1,2022-01-09 12:05:30.721000+01:00
145,12.95,2022-01-09 12:21:54.035000+01:00
146,13.0,2022-01-09 12:38:17.426000+01:00
147,13.0,2022-01-09 12:54:40.850000+01:00
148,12.85,2022-01-09 13:11:04.223000+01:00
149,12.8,2022-01-09 13:27:27.531000+01:00
150,12.75,2022-01-09 13:43:51.232000+01:00
151,12.75,2022-01-09 14:00:15.135000+01:00
152,12.75,2022-01-09 14:16:39.001000+01:00
153,12.7,2022-01-09 14:33:03.249000+01:00
154,12.7,2022-01-09 14:49:27.313000+01:00
155,12.7,2022-01-09 15:05:51.531000+01:00
156,12.6,2022-01-09 15:22:16.080000+01:00
157,12.6,2022-01-09 15:38:40.531000+01:00
158,12.5,2022-01-09 15:55:05.048000+01:00
159,12.5,2022-01-09 16:11:29.924000+01:00
160,12.45,2022-01-09 16:27:54.790000+01:00
161,12.4,2022-01-09 16:44:19.678000+01:00
162,12.45,2022-01-09 17:00:44.855000+01:00
163,13.35,2022-01-09 17:17:08.274000+01:00
164,13.75,2022-01-09 17:33:29.274000+01:00
165,14.05,2022-01-09 17:49:49.302000+01:00
166,14.25,2022-01-09 18:06:08.621000+01:00
167,14.4,2022-01-09 18:22:27.187000+01:00
168,14.55,2022-01-09 18:38:45.099000+01:00
169,14.5,2022-01-09 18:55:02.724000+01:00
170,14.8,2022-01-09 19:11:20.627000+01:00
171,15.25,2022-01-09 19:27:36.525000+01:00
172,15.4,2022-01-09 19:43:51.178000+01:00
173,15.65,2022-01-09 20:00:05.263000+01:00
174,15.1,2022-01-09 20:16:19.713000+01:00
175,14.7,2022-01-09 20:32:36.271000+01:00
176,14.5,2022-01-09 20:48:53.714000+01:00
177,14.35,2022-01-09 21:05:12.112000+01:00
178,14.2,2022-01-09 21:21:30.982000+01:00
179,14.5,2022-01-09 21:37:50.153000+01:00
180,15.25,2022-01-09 21:54:06.401000+01:00
181,15.55,2022-01-09 22:10:21.086000+01:00
182,15.7,2022-01-09 22:26:35.117000+01:00
183,15.85,2022-01-09 22:42:48.453000+01:00
184,16.0,2022-01-09 22:59:01.317000+01:00
185,16.1,2022-01-09 23:15:14.030000+01:00
186,16.2,2022-01-09 23:31:26.405000+01:00
187,16.0,2022-01-09 23:47:38.480000+01:00
188,15.75,2022-01-10 00:03:51.836000+01:00
189,15.7,2022-01-10 00:20:05.829000+01:00
190,15.65,2022-01-10 00:36:19.919000+01:00
191,15.65,2022-01-10 00:52:34.186000+01:00
192,15.65,2022-01-10 01:08:48.341000+01:00
193,15.7,2022-01-10 01:25:02.659000+01:00
194,15.55,2022-01-10 01:41:16.778000+01:00
195,15.4,2022-01-10 01:57:31.346000+01:00
196,15.35,2022-01-10 02:13:46.248000+01:00
197,15.25,2022-01-10 02:30:01.391000+01:00
198,15.25,2022-01-10 02:46:16.784000+01:00
199,15.2,2022-01-10 03:02:32.278000+01:00
200,15.2,2022-01-10 03:18:47.956000+01:00
201,15.15,2022-01-10 03:35:03.946000+01:00
202,15.15,2022-01-10 03:51:19.905000+01:00
203,15.15,2022-01-10 04:07:35.848000+01:00
204,15.05,2022-01-10 04:23:52.174000+01:00
205,14.95,2022-01-10 04:40:08.562000+01:00
206,15.0,2022-01-10 04:56:25.029000+01:00
207,14.95,2022-01-10 05:12:41.610000+01:00
208,15.25,2022-01-10 05:28:57.703000+01:00
209,15.05,2022-01-10 05:45:13.717000+01:00
210,14.95,2022-01-10 06:01:30.093000+01:00
211,14.85,2022-01-10 06:17:46.732000+01:00
212,15.05,2022-01-10 06:34:03.398000+01:00
213,15.2,2022-01-10 06:50:19.136000+01:00
214,14.75,2022-01-10 07:06:35.506000+01:00
215,14.55,2022-01-10 07:22:53.071000+01:00
216,14.2,2022-01-10 07:39:11.778000+01:00
217,14.1,2022-01-10 07:55:31.474000+01:00
218,13.9,2022-01-10 08:11:51.368000+01:00
219,13.85,2022-01-10 08:28:11.809000+01:00
220,13.75,2022-01-10 08:44:32.611000+01:00
221,13.7,2022-01-10 09:00:53.661000+01:00
222,13.55,2022-01-10 09:17:14.963000+01:00
223,13.45,2022-01-10 09:33:36.761000+01:00
224,13.35,2022-01-10 09:49:58.758000+01:00
225,13.3,2022-01-10 10:06:20.880000+01:00
226,13.25,2022-01-10 10:22:43.240000+01:00
227,13.15,2022-01-10 10:39:06.304000+01:00
228,13.05,2022-01-10 10:55:29.055000+01:00
229,13.2,2022-01-10 11:11:51.708000+01:00
230,13.25,2022-01-10 11:28:14.023000+01:00
231,13.25,2022-01-10 11:44:36.186000+01:00
232,13.3,2022-01-10 12:00:58.134000+01:00
233,13.45,2022-01-10 12:17:19.989000+01:00
234,13.7,2022-01-10 12:33:41.326000+01:00
235,13.7,2022-01-10 12:50:02.087000+01:00
236,13.7,2022-01-10 13:06:22.869000+01:00
237,13.75,2022-01-10 13:22:43.379000+01:00
238,13.75,2022-01-10 13:39:04.122000+01:00
239,13.75,2022-01-10 13:55:24.740000+01:00
240,13.8,2022-01-10 14:11:45.374000+01:00
241,13.9,2022-01-10 14:28:05.709000+01:00
242,13.9,2022-01-10 14:44:25.890000+01:00
243,13.9,2022-01-10 15:00:46.247000+01:00
244,14.0,2022-01-10 15:17:06.420000+01:00
245,13.9,2022-01-10 15:33:26.412000+01:00
246,14.6,2022-01-10 15:49:46.138000+01:00
247,14.25,2022-01-10 16:06:04.071000+01:00
248,14.0,2022-01-10 16:22:23.695000+01:00
249,13.7,2022-01-10 16:38:43.946000+01:00
250,13.65,2022-01-10 16:55:04.746000+01:00
251,13.6,2022-01-10 17:11:25.944000+01:00
252,13.45,2022-01-10 17:27:47.230000+01:00
253,13.5,2022-01-10 17:44:08.670000+01:00
254,13.45,2022-01-10 18:00:30.199000+01:00
255,14.8,2022-01-10 18:16:48.948000+01:00
256,15.35,2022-01-10 18:33:04.555000+01:00
257,15.5,2022-01-10 18:49:19.359000+01:00
258,15.7,2022-01-10 19:05:33.421000+01:00
259,15.85,2022-01-10 19:21:47.218000+01:00
260,15.7,2022-01-10 19:38:00.631000+01:00
261,15.85,2022-01-10 19:54:14.546000+01:00
262,15.75,2022-01-10 20:10:28.109000+01:00
263,15.9,2022-01-10 20:26:41.633000+01:00
264,15.9,2022-01-10 20:42:54.686000+01:00
265,15.9,2022-01-10 20:59:07.615000+01:00
266,16.4,2022-01-10 21:15:19.333000+01:00
267,16.7,2022-01-10 21:31:30.004000+01:00
268,16.7,2022-01-10 21:47:40.403000+01:00
269,16.75,2022-01-10 22:03:50.776000+01:00
270,16.95,2022-01-10 22:20:00.765000+01:00
271,17.05,2022-01-10 22:36:09.952000+01:00
272,17.15,2022-01-10 22:52:18.811000+01:00
273,17.25,2022-01-10 23:08:27.471000+01:00
274,17.25,2022-01-10 23:24:36.201000+01:00
275,17.35,2022-01-10 23:40:44.669000+01:00
276,17.4,2022-01-10 23:56:52.761000+01:00
277,17.4,2022-01-11 00:13:00.741000+01:00
278,17.5,2022-01-11 00:29:08.820000+01:00
279,17.5,2022-01-11 00:45:16.667000+01:00
280,17.5,2022-01-11 01:01:24.350000+01:00
281,17.55,2022-01-11 01:17:32.075000+01:00
282,17.6,2022-01-11 01:33:39.520000+01:00
283,17.6,2022-01-11 01:49:46.984000+01:00
284,17.65,2022-01-11 02:05:54.406000+01:00
285,17.7,2022-01-11 02:22:01.877000+01:00
286,17.7,2022-01-11 02:38:09.418000+01:00
287,17.75,2022-01-11 02:54:16.813000+01:00
288,17.85,2022-01-11 03:10:23.777000+01:00
289,17.9,2022-01-11 03:26:30.323000+01:00
290,18.0,2022-01-11 03:42:36.721000+01:00
291,18.1,2022-01-11 03:58:42.612000+01:00
292,18.25,2022-01-11 04:14:48.394000+01:00
293,18.4,2022-01-11 04:30:53.359000+01:00
294,18.45,2022-01-11 04:46:58.175000+01:00
295,18.3,2022-01-11 05:03:03.245000+01:00
296,18.25,2022-01-11 05:19:08.692000+01:00
297,18.25,2022-01-11 05:35:14.158000+01:00
298,18.25,2022-01-11 05:51:19.296000+01:00
299,18.3,2022-01-11 06:07:24.703000+01:00
300,18.25,2022-01-11 06:23:30.338000+01:00
301,18.3,2022-01-11 06:39:35.609000+01:00
302,18.25,2022-01-11 06:55:40.831000+01:00
303,18.25,2022-01-11 07:11:46.078000+01:00
304,17.85,2022-01-11 07:27:52.248000+01:00
305,17.6,2022-01-11 07:43:59.689000+01:00
306,17.35,2022-01-11 08:00:07.962000+01:00
307,17.15,2022-01-11 08:16:17.385000+01:00
308,17.6,2022-01-11 08:32:26.526000+01:00
309,17.95,2022-01-11 08:48:33.958000+01:00
310,18.1,2022-01-11 09:04:40.430000+01:00
311,18.25,2022-01-11 09:20:46.349000+01:00
312,18.3,2022-01-11 09:36:52.184000+01:00
313,18.15,2022-01-11 09:52:57.605000+01:00
314,17.7,2022-01-11 10:09:04.334000+01:00
315,17.55,2022-01-11 10:25:11.943000+01:00
316,17.35,2022-01-11 10:41:20.121000+01:00
317,17.25,2022-01-11 10:57:28.811000+01:00
318,17.2,2022-01-11 11:13:37.946000+01:00
319,17.05,2022-01-11 11:29:47.526000+01:00
320,17.0,2022-01-11 11:45:57.289000+01:00
321,16.95,2022-01-11 12:02:07.229000+01:00
322,16.85,2022-01-11 12:18:17.367000+01:00
323,16.8,2022-01-11 12:34:27.912000+01:00
324,16.75,2022-01-11 12:50:38.675000+01:00
325,16.75,2022-01-11 13:06:49.430000+01:00
326,16.9,2022-01-11 13:23:00.177000+01:00
327,17.9,2022-01-11 13:39:08.018000+01:00
328,18.25,2022-01-11 13:55:13.756000+01:00
329,18.5,2022-01-11 14:11:18.743000+01:00
330,18.7,2022-01-11 14:27:23.082000+01:00
331,18.75,2022-01-11 14:43:26.725000+01:00
332,18.8,2022-01-11 14:59:30.466000+01:00
333,18.8,2022-01-11 15:15:34.048000+01:00
334,18.8,2022-01-11 15:31:38.031000+01:00
335,18.8,2022-01-11 15:47:41.836000+01:00
336,18.85,2022-01-11 16:03:45.706000+01:00
337,18.9,2022-01-11 16:19:49.468000+01:00
338,18.95,2022-01-11 16:35:53.103000+01:00
