,2Cooking,timestamp
0,20.9,2022-01-07 20:55:43.321000+01:00
1,20.7,2022-01-07 21:11:32.856000+01:00
2,20.4,2022-01-07 21:27:22.567000+01:00
3,20.2,2022-01-07 21:43:12.638000+01:00
4,20.1,2022-01-07 21:59:02.943000+01:00
5,19.95,2022-01-07 22:14:53.406000+01:00
6,19.7,2022-01-07 22:30:43.957000+01:00
7,19.5,2022-01-07 22:46:34.856000+01:00
8,19.35,2022-01-07 23:02:25.776000+01:00
9,19.3,2022-01-07 23:18:17.165000+01:00
10,19.05,2022-01-07 23:34:08.639000+01:00
11,18.95,2022-01-07 23:50:00.302000+01:00
12,19.05,2022-01-08 00:05:52.164000+01:00
13,18.9,2022-01-08 00:21:44.341000+01:00
14,18.8,2022-01-08 00:37:36.229000+01:00
15,18.45,2022-01-08 00:53:28.451000+01:00
16,18.4,2022-01-08 01:09:20.907000+01:00
17,18.4,2022-01-08 01:25:13.551000+01:00
18,18.5,2022-01-08 01:41:06.435000+01:00
19,18.35,2022-01-08 01:56:59.520000+01:00
20,18.1,2022-01-08 02:12:52.631000+01:00
21,18.05,2022-01-08 02:28:45.878000+01:00
22,18.1,2022-01-08 02:44:39.110000+01:00
23,17.9,2022-01-08 03:00:31.962000+01:00
24,17.8,2022-01-08 03:16:25.781000+01:00
25,17.65,2022-01-08 03:32:19.554000+01:00
26,17.75,2022-01-08 03:48:13.566000+01:00
27,17.45,2022-01-08 04:04:07.690000+01:00
28,17.45,2022-01-08 04:20:02.052000+01:00
29,17.3,2022-01-08 04:35:56.528000+01:00
30,17.3,2022-01-08 04:51:50.842000+01:00
31,17.15,2022-01-08 05:07:45.393000+01:00
32,17.2,2022-01-08 05:23:40.119000+01:00
33,17.05,2022-01-08 05:39:34.714000+01:00
34,17.2,2022-01-08 05:55:29.490000+01:00
35,16.85,2022-01-08 06:11:24.425000+01:00
36,17.05,2022-01-08 06:27:19.366000+01:00
37,16.9,2022-01-08 06:43:14.396000+01:00
38,16.75,2022-01-08 06:59:09.661000+01:00
39,16.6,2022-01-08 07:15:04.648000+01:00
40,16.75,2022-01-08 07:30:59.831000+01:00
41,16.6,2022-01-08 07:46:55.598000+01:00
42,16.4,2022-01-08 08:02:51.067000+01:00
43,16.55,2022-01-08 08:18:46.489000+01:00
44,16.55,2022-01-08 08:34:42.149000+01:00
45,17.45,2022-01-08 08:50:37.176000+01:00
46,18.5,2022-01-08 09:06:30.345000+01:00
47,19.6,2022-01-08 09:22:21.792000+01:00
48,19.85,2022-01-08 09:38:12.271000+01:00
49,19.25,2022-01-08 09:54:02.773000+01:00
50,18.8,2022-01-08 10:09:54.273000+01:00
51,18.4,2022-01-08 10:25:46.536000+01:00
52,18.0,2022-01-08 10:41:39.323000+01:00
53,17.75,2022-01-08 10:57:32.392000+01:00
54,17.7,2022-01-08 11:13:25.871000+01:00
55,17.7,2022-01-08 11:29:19.374000+01:00
56,17.35,2022-01-08 11:45:13.553000+01:00
57,17.4,2022-01-08 12:01:07.891000+01:00
58,17.15,2022-01-08 12:17:02.198000+01:00
59,17.25,2022-01-08 12:32:56.635000+01:00
60,16.95,2022-01-08 12:48:51.266000+01:00
61,16.9,2022-01-08 13:04:45.904000+01:00
62,16.95,2022-01-08 13:20:40.514000+01:00
63,16.85,2022-01-08 13:36:34.934000+01:00
64,16.7,2022-01-08 13:52:29.631000+01:00
65,16.65,2022-01-08 14:08:24.398000+01:00
66,17.15,2022-01-08 14:24:19.297000+01:00
67,17.95,2022-01-08 14:40:12.927000+01:00
68,18.75,2022-01-08 14:56:05.195000+01:00
69,18.95,2022-01-08 15:11:56.659000+01:00
70,18.5,2022-01-08 15:27:48.649000+01:00
71,18.5,2022-01-08 15:43:40.977000+01:00
72,18.55,2022-01-08 15:59:32.995000+01:00
73,18.75,2022-01-08 16:15:24.823000+01:00
74,19.45,2022-01-08 16:31:16.163000+01:00
75,20.0,2022-01-08 16:47:05.955000+01:00
76,19.85,2022-01-08 17:02:55.909000+01:00
77,19.55,2022-01-08 17:18:46.318000+01:00
78,19.35,2022-01-08 17:34:36.896000+01:00
79,19.45,2022-01-08 17:50:27.981000+01:00
80,19.65,2022-01-08 18:06:18.759000+01:00
81,19.6,2022-01-08 18:22:09.333000+01:00
82,19.4,2022-01-08 18:38:00.284000+01:00
83,19.6,2022-01-08 18:53:51.036000+01:00
84,19.8,2022-01-08 19:09:41.427000+01:00
85,19.9,2022-01-08 19:25:31.765000+01:00
86,19.85,2022-01-08 19:41:21.395000+01:00
87,19.55,2022-01-08 19:57:11.096000+01:00
88,19.6,2022-01-08 20:13:00.885000+01:00
89,19.85,2022-01-08 20:28:51.110000+01:00
90,20.05,2022-01-08 20:44:40.718000+01:00
91,21.25,2022-01-08 21:00:29.929000+01:00
92,21.5,2022-01-08 21:16:16.510000+01:00
93,22.35,2022-01-08 21:32:03.071000+01:00
94,21.6,2022-01-08 21:47:49.661000+01:00
95,21.15,2022-01-08 22:03:37.445000+01:00
