,2Fireplace,timestamp
0,23.6,2022-01-07 20:56:53.722000+01:00
1,23.05,2022-01-07 21:12:50.150000+01:00
2,22.6,2022-01-07 21:28:48.100000+01:00
3,22.0,2022-01-07 21:44:48.684000+01:00
4,21.9,2022-01-07 22:00:47.532000+01:00
5,21.55,2022-01-07 22:16:48.589000+01:00
6,21.35,2022-01-07 22:32:50.097000+01:00
7,21.05,2022-01-07 22:48:52.442000+01:00
8,20.7,2022-01-07 23:04:55.330000+01:00
9,20.55,2022-01-07 23:21:00.273000+01:00
10,20.2,2022-01-07 23:37:04.799000+01:00
11,19.95,2022-01-07 23:53:09.916000+01:00
12,19.9,2022-01-08 00:09:15.363000+01:00
13,19.75,2022-01-08 00:25:21.384000+01:00
14,19.55,2022-01-08 00:41:27.732000+01:00
15,19.35,2022-01-08 00:57:34.465000+01:00
16,19.25,2022-01-08 01:13:41.815000+01:00
17,19.15,2022-01-08 01:29:49.664000+01:00
18,18.95,2022-01-08 01:45:58.036000+01:00
19,18.8,2022-01-08 02:02:06.934000+01:00
20,18.65,2022-01-08 02:18:16.029000+01:00
21,18.5,2022-01-08 02:34:25.765000+01:00
22,18.45,2022-01-08 02:50:35.889000+01:00
23,18.3,2022-01-08 03:06:46.253000+01:00
24,18.15,2022-01-08 03:22:56.929000+01:00
25,18.05,2022-01-08 03:39:07.771000+01:00
26,18.0,2022-01-08 03:55:18.660000+01:00
27,17.85,2022-01-08 04:11:29.697000+01:00
28,17.8,2022-01-08 04:27:40.947000+01:00
29,17.6,2022-01-08 04:43:52.566000+01:00
30,17.55,2022-01-08 05:00:04.557000+01:00
31,17.45,2022-01-08 05:16:16.570000+01:00
32,17.45,2022-01-08 05:32:28.768000+01:00
33,17.4,2022-01-08 05:48:44.449000+01:00
34,17.3,2022-01-08 06:04:53.904000+01:00
35,17.25,2022-01-08 06:21:06.944000+01:00
36,17.2,2022-01-08 06:37:20.341000+01:00
37,17.05,2022-01-08 06:53:33.984000+01:00
38,17.1,2022-01-08 07:09:47.400000+01:00
39,17.0,2022-01-08 07:26:00.862000+01:00
40,16.9,2022-01-08 07:42:14.391000+01:00
41,16.8,2022-01-08 07:58:28.327000+01:00
42,16.85,2022-01-08 08:14:42.551000+01:00
43,16.9,2022-01-08 08:30:56.304000+01:00
44,17.8,2022-01-08 08:47:08.987000+01:00
45,18.65,2022-01-08 09:03:19.100000+01:00
46,19.35,2022-01-08 09:19:26.976000+01:00
47,19.95,2022-01-08 09:35:33.549000+01:00
48,19.55,2022-01-08 09:51:38.124000+01:00
49,19.05,2022-01-08 10:07:45.288000+01:00
50,18.75,2022-01-08 10:23:53.307000+01:00
51,18.5,2022-01-08 10:40:02.010000+01:00
52,18.4,2022-01-08 10:56:11.381000+01:00
53,18.15,2022-01-08 11:12:21.239000+01:00
54,18.0,2022-01-08 11:28:31.584000+01:00
55,17.95,2022-01-08 11:44:42.438000+01:00
56,17.8,2022-01-08 12:00:53.551000+01:00
57,17.65,2022-01-08 12:17:05.037000+01:00
58,17.6,2022-01-08 12:33:16.892000+01:00
59,17.5,2022-01-08 12:49:28.791000+01:00
60,17.45,2022-01-08 13:05:40.867000+01:00
61,17.4,2022-01-08 13:21:52.965000+01:00
62,17.3,2022-01-08 13:38:05.326000+01:00
63,17.3,2022-01-08 13:54:17.767000+01:00
64,17.1,2022-01-08 14:10:30.381000+01:00
65,18.0,2022-01-08 14:26:42.233000+01:00
66,18.85,2022-01-08 14:42:51.380000+01:00
67,19.7,2022-01-08 14:58:58.073000+01:00
68,21.05,2022-01-08 15:14:59.805000+01:00
69,22.8,2022-01-08 15:30:58.747000+01:00
70,23.45,2022-01-08 15:46:54.062000+01:00
71,24.35,2022-01-08 16:02:47.906000+01:00
72,25.4,2022-01-08 16:18:39.896000+01:00
73,26.4,2022-01-08 16:34:26.657000+01:00
74,27.0,2022-01-08 16:50:12.682000+01:00
75,26.8,2022-01-08 17:05:57.828000+01:00
76,26.05,2022-01-08 17:21:44.817000+01:00
77,25.6,2022-01-08 17:37:33.716000+01:00
78,26.55,2022-01-08 17:53:21.156000+01:00
79,26.5,2022-01-08 18:09:07.438000+01:00
80,25.7,2022-01-08 18:24:54.977000+01:00
81,25.2,2022-01-08 18:40:44.885000+01:00
82,25.9,2022-01-08 18:56:34.374000+01:00
83,26.85,2022-01-08 19:12:20.996000+01:00
84,27.3,2022-01-08 19:28:05.687000+01:00
85,26.8,2022-01-08 19:43:50.150000+01:00
86,26.0,2022-01-08 19:59:36.654000+01:00
87,25.3,2022-01-08 20:15:25.662000+01:00
88,24.9,2022-01-08 20:31:16.464000+01:00
89,24.3,2022-01-08 20:47:08.586000+01:00
90,23.6,2022-01-08 21:03:02.521000+01:00
91,22.85,2022-01-08 21:18:58.176000+01:00
92,22.35,2022-01-08 21:34:55.690000+01:00
93,21.8,2022-01-08 21:50:54.937000+01:00
94,20.95,2022-01-08 22:06:55.906000+01:00
95,20.65,2022-01-08 22:22:58.681000+01:00
96,20.3,2022-01-08 22:39:02.264000+01:00
97,20.0,2022-01-08 22:55:08.043000+01:00
98,19.75,2022-01-08 23:11:13.186000+01:00
99,19.5,2022-01-08 23:27:19.104000+01:00
100,19.25,2022-01-08 23:43:25.972000+01:00
101,19.05,2022-01-08 23:59:33.401000+01:00
102,18.85,2022-01-09 00:15:41.405000+01:00
103,18.65,2022-01-09 00:31:49.957000+01:00
104,18.45,2022-01-09 00:47:58.917000+01:00
105,18.2,2022-01-09 01:04:08.688000+01:00
106,18.0,2022-01-09 01:20:19.086000+01:00
107,17.8,2022-01-09 01:36:29.954000+01:00
108,17.65,2022-01-09 01:52:41.324000+01:00
109,17.45,2022-01-09 02:08:53.205000+01:00
110,17.4,2022-01-09 02:25:05.658000+01:00
111,17.15,2022-01-09 02:41:18.358000+01:00
112,17.1,2022-01-09 02:57:31.264000+01:00
113,16.95,2022-01-09 03:13:44.548000+01:00
114,16.9,2022-01-09 03:29:58.234000+01:00
115,16.8,2022-01-09 03:46:12.247000+01:00
116,16.7,2022-01-09 04:02:26.712000+01:00
117,16.6,2022-01-09 04:18:41.168000+01:00
118,16.6,2022-01-09 04:34:55.902000+01:00
119,16.55,2022-01-09 04:51:10.788000+01:00
120,16.45,2022-01-09 05:07:26.181000+01:00
121,16.35,2022-01-09 05:23:41.700000+01:00
122,16.3,2022-01-09 05:39:57.267000+01:00
123,16.2,2022-01-09 05:56:12.954000+01:00
124,16.1,2022-01-09 06:12:28.817000+01:00
125,16.1,2022-01-09 06:28:45.075000+01:00
126,16.05,2022-01-09 06:45:01.524000+01:00
127,15.95,2022-01-09 07:01:18.116000+01:00
128,15.85,2022-01-09 07:17:34.852000+01:00
129,16.0,2022-01-09 07:33:51.473000+01:00
130,16.15,2022-01-09 07:50:07.759000+01:00
131,17.3,2022-01-09 08:06:22.001000+01:00
132,17.95,2022-01-09 08:22:33.507000+01:00
133,18.5,2022-01-09 08:38:43.367000+01:00
134,19.0,2022-01-09 08:54:51.556000+01:00
135,18.85,2022-01-09 09:10:58.568000+01:00
136,19.4,2022-01-09 09:27:05.951000+01:00
137,20.05,2022-01-09 09:43:09.918000+01:00
138,19.75,2022-01-09 09:59:14.288000+01:00
139,19.2,2022-01-09 10:15:21.886000+01:00
140,18.7,2022-01-09 10:31:29.514000+01:00
141,18.35,2022-01-09 10:47:38.606000+01:00
142,18.1,2022-01-09 11:03:48.429000+01:00
143,17.9,2022-01-09 11:19:59.141000+01:00
144,17.7,2022-01-09 11:36:10.178000+01:00
145,17.55,2022-01-09 11:52:21.606000+01:00
146,17.4,2022-01-09 12:08:33.780000+01:00
147,17.3,2022-01-09 12:24:46.313000+01:00
148,17.15,2022-01-09 12:40:58.905000+01:00
149,17.1,2022-01-09 12:57:11.956000+01:00
150,17.0,2022-01-09 13:13:25.114000+01:00
151,16.9,2022-01-09 13:29:38.552000+01:00
152,16.85,2022-01-09 13:45:52.519000+01:00
153,16.75,2022-01-09 14:02:06.588000+01:00
154,16.7,2022-01-09 14:18:20.893000+01:00
155,16.55,2022-01-09 14:34:35.014000+01:00
156,16.55,2022-01-09 14:50:49.579000+01:00
157,16.5,2022-01-09 15:07:04.335000+01:00
158,16.45,2022-01-09 15:23:19.109000+01:00
159,16.45,2022-01-09 15:39:34.037000+01:00
160,16.35,2022-01-09 15:55:49.216000+01:00
161,16.3,2022-01-09 16:12:04.673000+01:00
162,16.25,2022-01-09 16:28:20.209000+01:00
163,16.2,2022-01-09 16:44:35.707000+01:00
164,17.0,2022-01-09 17:00:50.916000+01:00
165,20.7,2022-01-09 17:16:58.345000+01:00
166,28.15,2022-01-09 17:32:50.050000+01:00
167,33.9,2022-01-09 17:48:21.318000+01:00
168,35.35,2022-01-09 18:03:42.261000+01:00
169,34.15,2022-01-09 18:19:04.170000+01:00
170,34.9,2022-01-09 18:34:28.345000+01:00
171,34.85,2022-01-09 18:49:48.079000+01:00
172,34.5,2022-01-09 19:05:09.487000+01:00
173,33.1,2022-01-09 19:20:34.240000+01:00
174,31.5,2022-01-09 19:36:03.488000+01:00
175,30.05,2022-01-09 19:51:36.927000+01:00
176,29.0,2022-01-09 20:07:15.057000+01:00
177,28.05,2022-01-09 20:22:56.014000+01:00
178,27.2,2022-01-09 20:38:39.477000+01:00
179,26.45,2022-01-09 20:54:25.225000+01:00
180,25.6,2022-01-09 21:10:14.261000+01:00
181,24.9,2022-01-09 21:26:04.359000+01:00
182,24.35,2022-01-09 21:41:56.712000+01:00
183,23.65,2022-01-09 21:57:50.927000+01:00
184,22.95,2022-01-09 22:13:46.994000+01:00
185,22.4,2022-01-09 22:29:44.548000+01:00
186,21.9,2022-01-09 22:45:43.646000+01:00
187,21.4,2022-01-09 23:01:44.140000+01:00
188,21.0,2022-01-09 23:17:45.726000+01:00
189,20.6,2022-01-09 23:33:48.215000+01:00
190,20.35,2022-01-09 23:49:53.158000+01:00
191,20.1,2022-01-10 00:05:57.340000+01:00
192,19.85,2022-01-10 00:22:02.093000+01:00
193,19.6,2022-01-10 00:38:07.739000+01:00
194,19.35,2022-01-10 00:54:14.403000+01:00
195,19.1,2022-01-10 01:10:21.714000+01:00
196,18.95,2022-01-10 01:26:29.500000+01:00
197,18.7,2022-01-10 01:42:37.698000+01:00
198,18.55,2022-01-10 01:58:46.523000+01:00
199,18.5,2022-01-10 02:14:55.763000+01:00
200,18.4,2022-01-10 02:31:05.581000+01:00
201,18.3,2022-01-10 02:47:15.726000+01:00
202,18.1,2022-01-10 03:03:26.219000+01:00
203,18.0,2022-01-10 03:19:37.258000+01:00
204,17.95,2022-01-10 03:35:48.536000+01:00
205,17.8,2022-01-10 03:52:00.080000+01:00
206,17.65,2022-01-10 04:08:11.638000+01:00
207,17.6,2022-01-10 04:24:23.706000+01:00
208,17.55,2022-01-10 04:40:36.102000+01:00
209,17.55,2022-01-10 04:56:48.753000+01:00
210,17.45,2022-01-10 05:13:01.375000+01:00
211,17.3,2022-01-10 05:29:14.121000+01:00
212,17.3,2022-01-10 05:45:27.355000+01:00
213,17.25,2022-01-10 06:01:40.803000+01:00
214,17.15,2022-01-10 06:17:54.227000+01:00
215,17.1,2022-01-10 06:34:07.565000+01:00
216,17.05,2022-01-10 06:50:21.184000+01:00
217,16.95,2022-01-10 07:06:35.207000+01:00
218,17.0,2022-01-10 07:22:49.160000+01:00
219,18.5,2022-01-10 07:39:01.479000+01:00
220,23.45,2022-01-10 07:55:03.168000+01:00
221,27.8,2022-01-10 08:10:51.766000+01:00
222,29.4,2022-01-10 08:26:30.749000+01:00
223,28.75,2022-01-10 08:42:09.982000+01:00
224,28.0,2022-01-10 08:57:51.749000+01:00
225,27.8,2022-01-10 09:13:34.355000+01:00
226,27.4,2022-01-10 09:29:17.526000+01:00
227,27.15,2022-01-10 09:45:02.021000+01:00
228,27.05,2022-01-10 10:00:47.077000+01:00
229,27.8,2022-01-10 10:16:31.230000+01:00
230,28.15,2022-01-10 10:32:13.232000+01:00
231,27.85,2022-01-10 10:47:55.499000+01:00
232,26.85,2022-01-10 11:03:39.581000+01:00
233,26.65,2022-01-10 11:19:25.834000+01:00
234,27.55,2022-01-10 11:35:10.871000+01:00
235,28.65,2022-01-10 11:50:51.855000+01:00
236,28.75,2022-01-10 12:06:31.392000+01:00
237,28.25,2022-01-10 12:22:12.574000+01:00
238,27.4,2022-01-10 12:37:55.417000+01:00
239,26.45,2022-01-10 12:53:40.905000+01:00
240,25.6,2022-01-10 13:09:29.055000+01:00
241,24.8,2022-01-10 13:25:19.568000+01:00
242,24.85,2022-01-10 13:41:11.900000+01:00
243,27.15,2022-01-10 13:56:59.941000+01:00
244,28.2,2022-01-10 14:12:42.804000+01:00
245,30.4,2022-01-10 14:28:21.138000+01:00
246,32.75,2022-01-10 14:43:52.078000+01:00
247,34.25,2022-01-10 14:59:17.314000+01:00
248,34.45,2022-01-10 15:14:40.190000+01:00
249,34.4,2022-01-10 15:30:03.009000+01:00
250,33.9,2022-01-10 15:45:26.558000+01:00
251,32.8,2022-01-10 16:00:52.778000+01:00
252,31.85,2022-01-10 16:16:21.776000+01:00
253,30.8,2022-01-10 16:31:53.736000+01:00
254,31.2,2022-01-10 16:47:27.426000+01:00
255,32.75,2022-01-10 17:02:57.404000+01:00
256,33.85,2022-01-10 17:18:23.016000+01:00
257,33.35,2022-01-10 17:33:48.286000+01:00
258,32.2,2022-01-10 17:49:16.281000+01:00
259,30.85,2022-01-10 18:04:48.049000+01:00
260,29.9,2022-01-10 18:20:23.090000+01:00
261,28.9,2022-01-10 18:36:02.074000+01:00
262,27.8,2022-01-10 18:51:43.409000+01:00
263,26.9,2022-01-10 19:07:27.762000+01:00
264,25.95,2022-01-10 19:23:14.979000+01:00
265,25.4,2022-01-10 19:39:04.287000+01:00
266,24.75,2022-01-10 19:54:55.337000+01:00
267,24.15,2022-01-10 20:10:48.217000+01:00
268,23.65,2022-01-10 20:26:42.660000+01:00
269,23.15,2022-01-10 20:42:38.492000+01:00
270,22.6,2022-01-10 20:58:35.894000+01:00
271,22.25,2022-01-10 21:14:34.536000+01:00
272,21.9,2022-01-10 21:30:34.058000+01:00
273,21.65,2022-01-10 21:46:34.427000+01:00
274,21.4,2022-01-10 22:02:35.413000+01:00
275,21.0,2022-01-10 22:18:37.193000+01:00
276,20.75,2022-01-10 22:34:39.845000+01:00
277,20.5,2022-01-10 22:50:43.238000+01:00
278,20.4,2022-01-10 23:06:48.451000+01:00
279,20.2,2022-01-10 23:22:52.865000+01:00
280,20.0,2022-01-10 23:38:57.915000+01:00
281,19.9,2022-01-10 23:55:03.209000+01:00
282,19.8,2022-01-11 00:11:08.918000+01:00
283,19.6,2022-01-11 00:27:14.997000+01:00
284,19.45,2022-01-11 00:43:21.374000+01:00
285,19.4,2022-01-11 00:59:28.218000+01:00
286,19.25,2022-01-11 01:15:35.368000+01:00
287,19.2,2022-01-11 01:31:42.795000+01:00
288,19.0,2022-01-11 01:47:50.648000+01:00
289,19.0,2022-01-11 02:03:58.663000+01:00
290,18.9,2022-01-11 02:20:07.008000+01:00
291,18.75,2022-01-11 02:36:15.576000+01:00
292,18.85,2022-01-11 02:52:24.341000+01:00
293,20.0,2022-01-11 03:08:31.005000+01:00
294,20.75,2022-01-11 03:24:33.679000+01:00
295,21.3,2022-01-11 03:40:35.921000+01:00
296,21.65,2022-01-11 03:56:36.627000+01:00
297,21.05,2022-01-11 04:12:37.625000+01:00
298,20.55,2022-01-11 04:28:40.395000+01:00
299,20.35,2022-01-11 04:44:44.253000+01:00
300,20.0,2022-01-11 05:00:50.071000+01:00
301,19.85,2022-01-11 05:16:55.286000+01:00
302,19.65,2022-01-11 05:33:01.462000+01:00
303,19.5,2022-01-11 05:49:07.942000+01:00
304,19.35,2022-01-11 06:05:14.562000+01:00
305,19.25,2022-01-11 06:21:21.831000+01:00
306,19.15,2022-01-11 06:37:29.414000+01:00
307,19.05,2022-01-11 06:53:37.212000+01:00
308,19.0,2022-01-11 07:09:45.161000+01:00
309,19.0,2022-01-11 07:25:53.223000+01:00
310,18.9,2022-01-11 07:42:01.504000+01:00
311,19.0,2022-01-11 07:58:09.408000+01:00
312,21.6,2022-01-11 08:14:13.573000+01:00
313,25.95,2022-01-11 08:30:07.843000+01:00
314,29.15,2022-01-11 08:45:50.122000+01:00
315,30.25,2022-01-11 09:01:27.122000+01:00
316,30.9,2022-01-11 09:17:01.698000+01:00
317,30.9,2022-01-11 09:32:35.550000+01:00
318,30.75,2022-01-11 09:48:09.139000+01:00
319,30.1,2022-01-11 10:03:43.910000+01:00
320,29.2,2022-01-11 10:19:21.401000+01:00
321,28.55,2022-01-11 10:35:01.046000+01:00
322,28.0,2022-01-11 10:50:43.152000+01:00
323,27.3,2022-01-11 11:06:26.571000+01:00
324,26.5,2022-01-11 11:22:12.525000+01:00
325,25.85,2022-01-11 11:38:00.633000+01:00
326,25.2,2022-01-11 11:53:50.475000+01:00
327,25.35,2022-01-11 12:09:41.492000+01:00
328,26.15,2022-01-11 12:25:30.519000+01:00
329,27.0,2022-01-11 12:41:17.267000+01:00
330,29.4,2022-01-11 12:56:58.657000+01:00
331,31.75,2022-01-11 13:12:32.686000+01:00
332,32.55,2022-01-11 13:28:01.853000+01:00
333,32.0,2022-01-11 13:43:31.146000+01:00
334,31.35,2022-01-11 13:59:02.746000+01:00
335,30.6,2022-01-11 14:14:36.247000+01:00
336,29.9,2022-01-11 14:30:11.814000+01:00
337,29.4,2022-01-11 14:45:49.353000+01:00
338,28.5,2022-01-11 15:01:29.100000+01:00
339,27.55,2022-01-11 15:17:12.138000+01:00
