,2LivingRoomCenter,timestamp
0,21.4,2022-01-07 20:54:58.675000+01:00
1,21.3,2022-01-07 21:00:52.557000+01:00
2,21.2,2022-01-07 21:06:46.523000+01:00
3,21.05,2022-01-07 21:12:40.589000+01:00
4,20.9,2022-01-07 21:18:34.812000+01:00
5,20.85,2022-01-07 21:24:29.208000+01:00
6,20.7,2022-01-07 21:30:23.702000+01:00
7,20.65,2022-01-07 21:36:18.309000+01:00
8,20.55,2022-01-07 21:42:13.094000+01:00
9,20.55,2022-01-07 21:47:22.329000+01:00
10,20.45,2022-01-07 21:53:17.079000+01:00
11,20.3,2022-01-07 21:59:12.104000+01:00
12,20.3,2022-01-07 22:04:21.624000+01:00
13,20.15,2022-01-07 22:10:16.765000+01:00
14,20.15,2022-01-07 22:15:26.407000+01:00
15,20.15,2022-01-07 22:21:21.611000+01:00
16,20.0,2022-01-07 22:26:31.281000+01:00
17,19.95,2022-01-07 22:32:26.608000+01:00
18,19.9,2022-01-07 22:37:36.336000+01:00
19,19.95,2022-01-07 22:43:31.735000+01:00
20,19.9,2022-01-07 22:48:41.546000+01:00
21,19.85,2022-01-07 22:54:37.040000+01:00
22,19.7,2022-01-07 22:59:46.912000+01:00
23,19.75,2022-01-07 23:05:42.562000+01:00
24,19.65,2022-01-07 23:10:52.721000+01:00
25,19.5,2022-01-07 23:16:48.646000+01:00
26,19.45,2022-01-07 23:21:58.835000+01:00
27,19.45,2022-01-07 23:27:54.845000+01:00
28,19.5,2022-01-07 23:33:05.177000+01:00
29,19.45,2022-01-07 23:39:01.189000+01:00
30,19.25,2022-01-07 23:44:11.604000+01:00
31,19.35,2022-01-07 23:50:07.821000+01:00
32,19.15,2022-01-07 23:55:18.350000+01:00
33,19.0,2022-01-08 00:01:14.621000+01:00
34,19.1,2022-01-08 00:06:25.236000+01:00
35,19.0,2022-01-08 00:12:21.631000+01:00
36,18.95,2022-01-08 00:17:32.388000+01:00
37,19.0,2022-01-08 00:23:28.976000+01:00
38,18.85,2022-01-08 00:28:39.864000+01:00
39,19.05,2022-01-08 00:34:36.539000+01:00
40,18.9,2022-01-08 00:39:47.523000+01:00
41,18.85,2022-01-08 00:45:44.414000+01:00
42,18.7,2022-01-08 00:50:55.565000+01:00
43,18.75,2022-01-08 00:56:52.559000+01:00
44,18.7,2022-01-08 01:02:03.678000+01:00
45,18.7,2022-01-08 01:08:00.628000+01:00
46,18.75,2022-01-08 01:13:11.732000+01:00
47,18.6,2022-01-08 01:19:08.672000+01:00
48,18.55,2022-01-08 01:24:19.844000+01:00
49,18.5,2022-01-08 01:30:16.886000+01:00
50,18.5,2022-01-08 01:35:28.111000+01:00
51,18.55,2022-01-08 01:41:25.234000+01:00
52,18.35,2022-01-08 01:46:36.567000+01:00
53,18.4,2022-01-08 01:52:33.834000+01:00
54,18.35,2022-01-08 01:57:45.268000+01:00
55,18.25,2022-01-08 02:03:42.627000+01:00
56,18.3,2022-01-08 02:08:54.246000+01:00
57,18.15,2022-01-08 02:14:51.812000+01:00
58,18.25,2022-01-08 02:20:03.548000+01:00
59,18.2,2022-01-08 02:26:01.230000+01:00
60,18.2,2022-01-08 02:31:13.013000+01:00
61,17.9,2022-01-08 02:37:10.728000+01:00
62,18.0,2022-01-08 02:42:22.533000+01:00
63,18.0,2022-01-08 02:48:20.317000+01:00
64,17.95,2022-01-08 02:53:32.163000+01:00
65,18.0,2022-01-08 02:59:29.948000+01:00
66,17.85,2022-01-08 03:04:41.848000+01:00
67,17.85,2022-01-08 03:10:39.765000+01:00
68,17.85,2022-01-08 03:15:51.724000+01:00
69,17.75,2022-01-08 03:21:49.702000+01:00
70,17.8,2022-01-08 03:27:01.764000+01:00
71,17.8,2022-01-08 03:32:59.887000+01:00
72,17.75,2022-01-08 03:38:12.109000+01:00
73,17.65,2022-01-08 03:44:10.346000+01:00
74,17.6,2022-01-08 03:49:22.623000+01:00
75,17.55,2022-01-08 03:55:20.917000+01:00
76,17.45,2022-01-08 04:00:33.262000+01:00
77,17.55,2022-01-08 04:06:31.621000+01:00
78,17.55,2022-01-08 04:11:44.030000+01:00
79,17.35,2022-01-08 04:17:42.359000+01:00
80,17.55,2022-01-08 04:22:54.733000+01:00
81,17.45,2022-01-08 04:28:53.163000+01:00
82,17.45,2022-01-08 04:34:05.638000+01:00
83,17.45,2022-01-08 04:40:04.134000+01:00
84,17.3,2022-01-08 04:45:16.637000+01:00
85,17.4,2022-01-08 04:51:15.142000+01:00
86,17.25,2022-01-08 04:56:27.638000+01:00
87,17.3,2022-01-08 05:02:26.240000+01:00
88,17.2,2022-01-08 05:07:38.819000+01:00
89,17.25,2022-01-08 05:13:37.492000+01:00
90,17.25,2022-01-08 05:18:50.125000+01:00
91,17.15,2022-01-08 05:24:48.811000+01:00
92,17.2,2022-01-08 05:30:01.488000+01:00
93,17.15,2022-01-08 05:36:00.226000+01:00
94,17.1,2022-01-08 05:41:12.926000+01:00
95,17.1,2022-01-08 05:47:11.628000+01:00
96,17.15,2022-01-08 05:52:24.361000+01:00
97,17.05,2022-01-08 05:58:23.184000+01:00
98,17.1,2022-01-08 06:03:36.162000+01:00
99,17.0,2022-01-08 06:09:34.885000+01:00
100,17.0,2022-01-08 06:14:47.602000+01:00
101,17.0,2022-01-08 06:20:46.347000+01:00
102,16.9,2022-01-08 06:25:59.046000+01:00
103,16.95,2022-01-08 06:31:57.817000+01:00
104,16.9,2022-01-08 06:37:10.524000+01:00
105,16.95,2022-01-08 06:43:09.318000+01:00
106,16.9,2022-01-08 06:48:22.089000+01:00
107,16.9,2022-01-08 06:54:20.933000+01:00
108,16.7,2022-01-08 06:59:33.740000+01:00
109,16.7,2022-01-08 07:05:32.659000+01:00
110,16.7,2022-01-08 07:10:45.467000+01:00
111,16.75,2022-01-08 07:15:58.489000+01:00
112,16.7,2022-01-08 07:21:57.522000+01:00
113,16.7,2022-01-08 07:27:10.473000+01:00
114,16.6,2022-01-08 07:33:09.573000+01:00
115,16.55,2022-01-08 07:38:22.613000+01:00
116,16.6,2022-01-08 07:44:21.706000+01:00
117,16.6,2022-01-08 07:49:34.747000+01:00
118,16.5,2022-01-08 07:55:33.896000+01:00
119,16.55,2022-01-08 08:00:47.055000+01:00
120,16.5,2022-01-08 08:06:46.340000+01:00
121,16.55,2022-01-08 08:11:59.459000+01:00
122,16.6,2022-01-08 08:17:58.561000+01:00
123,16.75,2022-01-08 08:23:11.543000+01:00
124,16.65,2022-01-08 08:29:10.588000+01:00
125,16.75,2022-01-08 08:34:23.519000+01:00
126,17.15,2022-01-08 08:40:22.237000+01:00
127,17.55,2022-01-08 08:45:34.373000+01:00
128,17.95,2022-01-08 08:51:32.056000+01:00
129,18.35,2022-01-08 08:56:43.434000+01:00
130,18.65,2022-01-08 09:02:40.131000+01:00
131,18.85,2022-01-08 09:07:50.680000+01:00
132,19.3,2022-01-08 09:13:46.633000+01:00
133,19.35,2022-01-08 09:18:56.610000+01:00
134,19.75,2022-01-08 09:24:51.948000+01:00
135,20.1,2022-01-08 09:30:01.449000+01:00
136,20.05,2022-01-08 09:35:56.129000+01:00
137,20.05,2022-01-08 09:41:50.620000+01:00
138,20.0,2022-01-08 09:47:45.358000+01:00
139,19.8,2022-01-08 09:53:40.484000+01:00
140,19.6,2022-01-08 09:58:50.301000+01:00
141,19.35,2022-01-08 10:04:45.983000+01:00
142,19.05,2022-01-08 10:09:56.157000+01:00
143,18.95,2022-01-08 10:15:52.124000+01:00
144,18.8,2022-01-08 10:21:02.627000+01:00
145,18.75,2022-01-08 10:26:59.005000+01:00
146,18.5,2022-01-08 10:32:09.780000+01:00
147,18.5,2022-01-08 10:38:06.442000+01:00
148,18.4,2022-01-08 10:43:17.466000+01:00
149,18.25,2022-01-08 10:49:14.536000+01:00
150,18.15,2022-01-08 10:54:25.857000+01:00
151,18.1,2022-01-08 11:00:23.177000+01:00
152,18.05,2022-01-08 11:05:34.639000+01:00
153,17.85,2022-01-08 11:11:32.058000+01:00
154,17.8,2022-01-08 11:16:43.733000+01:00
