,2LivingRoomCenterHumidity_temperature,2LivingRoomCenterHumidity_humidity,timestamp
0,21.3,26,2022-01-07 20:55:25.085000+01:00
1,21.1,26,2022-01-07 21:10:06.284000+01:00
2,20.85,26,2022-01-07 21:24:48.411000+01:00
3,20.6,26,2022-01-07 21:39:31.291000+01:00
4,20.4,26,2022-01-07 21:54:14.688000+01:00
5,20.1,26,2022-01-07 22:08:58.696000+01:00
6,19.95,26,2022-01-07 22:23:43.320000+01:00
7,19.85,26,2022-01-07 22:38:28.272000+01:00
8,19.7,26,2022-01-07 22:53:13.708000+01:00
9,19.55,25,2022-01-07 23:07:59.486000+01:00
10,19.45,25,2022-01-07 23:22:45.819000+01:00
11,19.3,25,2022-01-07 23:37:32.778000+01:00
12,19.05,25,2022-01-07 23:52:20.264000+01:00
13,19.0,25,2022-01-08 00:07:08.079000+01:00
14,18.8,25,2022-01-08 00:21:56.304000+01:00
15,18.7,25,2022-01-08 00:36:44.863000+01:00
16,18.6,25,2022-01-08 00:51:33.892000+01:00
17,18.55,25,2022-01-08 01:06:23.178000+01:00
18,18.45,25,2022-01-08 01:21:12.747000+01:00
19,18.35,25,2022-01-08 01:36:02.438000+01:00
20,18.25,25,2022-01-08 01:50:52.523000+01:00
21,18.1,25,2022-01-08 02:05:43.169000+01:00
22,18.0,25,2022-01-08 02:20:33.875000+01:00
23,17.9,25,2022-01-08 02:35:24.949000+01:00
24,17.8,25,2022-01-08 02:50:16.378000+01:00
25,17.7,25,2022-01-08 03:05:08.154000+01:00
26,17.6,25,2022-01-08 03:20:00.320000+01:00
27,17.55,26,2022-01-08 03:34:52.659000+01:00
28,17.45,26,2022-01-08 03:49:45.164000+01:00
29,17.35,26,2022-01-08 04:04:38.172000+01:00
30,17.3,26,2022-01-08 04:19:31.209000+01:00
31,17.25,26,2022-01-08 04:34:24.377000+01:00
32,17.15,26,2022-01-08 04:49:18.030000+01:00
33,17.1,26,2022-01-08 05:04:11.809000+01:00
34,17.05,26,2022-01-08 05:19:05.700000+01:00
35,16.95,26,2022-01-08 05:33:59.869000+01:00
36,16.85,26,2022-01-08 05:48:54.255000+01:00
37,16.8,26,2022-01-08 06:03:48.995000+01:00
38,16.8,26,2022-01-08 06:18:43.776000+01:00
39,16.7,26,2022-01-08 06:33:38.876000+01:00
40,16.7,26,2022-01-08 06:48:34.114000+01:00
41,16.6,26,2022-01-08 07:03:29.593000+01:00
42,16.5,26,2022-01-08 07:18:25.250000+01:00
43,16.5,26,2022-01-08 07:33:21.432000+01:00
44,16.4,26,2022-01-08 07:48:17.620000+01:00
45,16.4,26,2022-01-08 08:03:13.742000+01:00
46,16.5,27,2022-01-08 08:18:09.981000+01:00
47,16.6,28,2022-01-08 08:33:05.775000+01:00
48,17.5,28,2022-01-08 08:48:00.164000+01:00
49,18.5,30,2022-01-08 09:02:51.132000+01:00
50,19.25,31,2022-01-08 09:17:39.180000+01:00
51,19.85,30,2022-01-08 09:32:25.155000+01:00
52,19.75,30,2022-01-08 09:47:09.861000+01:00
53,19.25,30,2022-01-08 10:01:56.169000+01:00
54,18.85,30,2022-01-08 10:16:43.673000+01:00
55,18.5,30,2022-01-08 10:31:32.685000+01:00
56,18.1,30,2022-01-08 10:46:22.613000+01:00
57,17.9,30,2022-01-08 11:01:13.452000+01:00
58,17.7,30,2022-01-08 11:16:04.917000+01:00
59,17.55,30,2022-01-08 11:30:56.906000+01:00
60,17.4,30,2022-01-08 11:45:49.477000+01:00
61,17.2,30,2022-01-08 12:00:42.518000+01:00
62,17.15,30,2022-01-08 12:15:35.731000+01:00
63,17.1,30,2022-01-08 12:30:29.202000+01:00
64,17.0,30,2022-01-08 12:45:23.120000+01:00
65,16.95,30,2022-01-08 13:00:17.361000+01:00
66,16.9,30,2022-01-08 13:15:11.826000+01:00
67,16.75,30,2022-01-08 13:30:06.288000+01:00
68,16.75,30,2022-01-08 13:45:00.981000+01:00
69,16.7,30,2022-01-08 13:59:55.853000+01:00
70,16.65,30,2022-01-08 14:14:50.852000+01:00
71,17.8,30,2022-01-08 14:29:43.860000+01:00
72,18.65,30,2022-01-08 14:44:33.600000+01:00
73,19.4,29,2022-01-08 14:59:20.991000+01:00
74,19.55,28,2022-01-08 15:14:06.903000+01:00
75,19.45,30,2022-01-08 15:28:53.143000+01:00
76,19.5,30,2022-01-08 15:43:39.202000+01:00
77,19.6,30,2022-01-08 15:58:25.165000+01:00
78,19.8,29,2022-01-08 16:13:10.731000+01:00
79,20.0,29,2022-01-08 16:27:55.457000+01:00
80,20.25,31,2022-01-08 16:42:39.373000+01:00
81,20.5,31,2022-01-08 16:57:22.778000+01:00
82,20.55,31,2022-01-08 17:12:05.545000+01:00
83,20.5,30,2022-01-08 17:26:48.153000+01:00
84,20.55,30,2022-01-08 17:41:30.937000+01:00
85,20.65,31,2022-01-08 17:56:13.234000+01:00
86,20.75,30,2022-01-08 18:10:55.296000+01:00
87,20.65,29,2022-01-08 18:25:37.523000+01:00
88,20.55,30,2022-01-08 18:40:20.119000+01:00
89,20.55,30,2022-01-08 18:55:02.552000+01:00
90,20.75,29,2022-01-08 19:09:44.497000+01:00
91,20.9,28,2022-01-08 19:24:26.132000+01:00
92,20.9,28,2022-01-08 19:39:07.161000+01:00
93,20.85,28,2022-01-08 19:53:48.126000+01:00
94,20.65,29,2022-01-08 20:08:29.696000+01:00
95,20.6,29,2022-01-08 20:23:11.854000+01:00
96,20.35,28,2022-01-08 20:37:54.424000+01:00
97,20.1,27,2022-01-08 20:52:37.796000+01:00
98,19.8,27,2022-01-08 21:07:21.802000+01:00
99,19.6,27,2022-01-08 21:22:07.209000+01:00
100,19.35,27,2022-01-08 21:36:53.374000+01:00
101,19.1,27,2022-01-08 21:51:40.446000+01:00
102,18.8,26,2022-01-08 22:06:28.360000+01:00
103,18.6,26,2022-01-08 22:21:16.779000+01:00
104,18.35,26,2022-01-08 22:36:05.772000+01:00
105,18.35,31,2022-01-08 22:50:55.026000+01:00
106,18.25,30,2022-01-08 23:05:44.544000+01:00
107,18.15,30,2022-01-08 23:20:34.187000+01:00
108,18.15,30,2022-01-08 23:35:24.222000+01:00
109,18.0,29,2022-01-08 23:50:14.600000+01:00
110,17.9,29,2022-01-09 00:05:05.223000+01:00
111,17.75,28,2022-01-09 00:19:56.258000+01:00
112,17.65,28,2022-01-09 00:34:47.723000+01:00
113,17.55,28,2022-01-09 00:49:39.522000+01:00
114,17.45,28,2022-01-09 01:04:31.947000+01:00
115,17.3,28,2022-01-09 01:19:24.720000+01:00
116,17.15,28,2022-01-09 01:34:18.007000+01:00
117,17.05,28,2022-01-09 01:49:11.448000+01:00
118,16.9,28,2022-01-09 02:04:05.145000+01:00
119,16.85,28,2022-01-09 02:18:59.526000+01:00
120,16.7,28,2022-01-09 02:33:54.166000+01:00
121,16.65,28,2022-01-09 02:48:48.988000+01:00
122,16.55,29,2022-01-09 03:03:44.065000+01:00
123,16.5,29,2022-01-09 03:18:39.285000+01:00
124,16.4,29,2022-01-09 03:33:34.864000+01:00
125,16.35,29,2022-01-09 03:48:30.631000+01:00
126,16.25,29,2022-01-09 04:03:26.557000+01:00
127,16.15,30,2022-01-09 04:18:22.839000+01:00
128,16.05,30,2022-01-09 04:33:19.272000+01:00
129,16.1,30,2022-01-09 04:48:15.809000+01:00
130,16.0,30,2022-01-09 05:03:12.651000+01:00
131,15.95,30,2022-01-09 05:18:09.878000+01:00
132,15.9,30,2022-01-09 05:33:07.225000+01:00
133,15.85,30,2022-01-09 05:48:05.186000+01:00
134,15.7,30,2022-01-09 06:03:03.191000+01:00
135,15.7,30,2022-01-09 06:18:01.052000+01:00
136,15.65,30,2022-01-09 06:32:59.303000+01:00
137,15.65,31,2022-01-09 06:47:57.701000+01:00
138,15.6,31,2022-01-09 07:02:56.697000+01:00
139,15.55,31,2022-01-09 07:17:55.467000+01:00
140,15.7,31,2022-01-09 07:32:53.718000+01:00
141,15.7,32,2022-01-09 07:47:51.692000+01:00
142,16.6,31,2022-01-09 08:02:48.269000+01:00
143,17.4,29,2022-01-09 08:17:42.001000+01:00
144,17.9,29,2022-01-09 08:32:33.465000+01:00
145,18.55,29,2022-01-09 08:47:23.284000+01:00
146,19.05,28,2022-01-09 09:02:11.093000+01:00
147,18.8,28,2022-01-09 09:16:58.629000+01:00
148,19.5,30,2022-01-09 09:31:45.508000+01:00
149,20.0,30,2022-01-09 09:46:30.430000+01:00
150,19.7,29,2022-01-09 10:01:14.832000+01:00
151,19.3,31,2022-01-09 10:16:00.648000+01:00
152,18.75,30,2022-01-09 10:30:47.803000+01:00
153,18.4,30,2022-01-09 10:45:36.537000+01:00
154,18.1,29,2022-01-09 11:00:26.117000+01:00
155,17.75,29,2022-01-09 11:15:16.886000+01:00
156,17.6,28,2022-01-09 11:30:08.496000+01:00
157,17.4,28,2022-01-09 11:45:00.676000+01:00
158,17.2,28,2022-01-09 11:59:53.176000+01:00
159,17.1,28,2022-01-09 12:14:46.272000+01:00
160,17.05,28,2022-01-09 12:29:40.026000+01:00
161,16.85,27,2022-01-09 12:44:33.869000+01:00
162,16.8,27,2022-01-09 12:59:28.033000+01:00
163,16.7,27,2022-01-09 13:14:22.605000+01:00
164,16.65,27,2022-01-09 13:29:17.272000+01:00
165,16.6,27,2022-01-09 13:44:12.250000+01:00
166,16.55,27,2022-01-09 13:59:07.632000+01:00
167,16.4,27,2022-01-09 14:14:02.980000+01:00
168,16.35,27,2022-01-09 14:28:58.750000+01:00
