,2LivingRoomHumidifier_temperature,2LivingRoomHumidifier_humidity,timestamp
0,21.65,26,2022-01-07 21:03:04.181000+01:00
1,21.45,25,2022-01-07 21:19:06.792000+01:00
2,21.25,25,2022-01-07 21:35:10.101000+01:00
3,21.05,25,2022-01-07 21:51:13.993000+01:00
4,20.85,25,2022-01-07 22:07:18.190000+01:00
5,20.7,25,2022-01-07 22:23:22.923000+01:00
6,20.45,25,2022-01-07 22:39:28.162000+01:00
7,20.35,25,2022-01-07 22:55:33.733000+01:00
8,20.15,25,2022-01-07 23:11:39.575000+01:00
9,20.0,25,2022-01-07 23:27:46.072000+01:00
10,19.8,25,2022-01-07 23:43:53.137000+01:00
11,19.7,25,2022-01-08 00:00:00.732000+01:00
12,19.6,25,2022-01-08 00:16:08.761000+01:00
13,19.4,25,2022-01-08 00:32:17.317000+01:00
14,19.25,25,2022-01-08 00:48:26.477000+01:00
15,19.1,25,2022-01-08 01:04:35.890000+01:00
16,19.05,25,2022-01-08 01:20:45.657000+01:00
17,18.9,25,2022-01-08 01:36:55.731000+01:00
18,18.8,25,2022-01-08 01:53:06.130000+01:00
19,18.7,25,2022-01-08 02:09:16.825000+01:00
20,18.55,25,2022-01-08 02:25:27.878000+01:00
21,18.4,25,2022-01-08 02:41:39.244000+01:00
22,18.35,25,2022-01-08 02:57:50.978000+01:00
23,18.25,25,2022-01-08 03:14:03.128000+01:00
24,18.1,25,2022-01-08 03:30:15.750000+01:00
25,18.0,25,2022-01-08 03:46:28.106000+01:00
26,17.95,25,2022-01-08 04:02:40.574000+01:00
27,17.85,25,2022-01-08 04:18:53.291000+01:00
28,17.75,25,2022-01-08 04:35:06.374000+01:00
29,17.65,25,2022-01-08 04:51:19.519000+01:00
30,17.6,25,2022-01-08 05:07:33.243000+01:00
31,17.55,26,2022-01-08 05:23:46.965000+01:00
32,17.4,26,2022-01-08 05:40:00.986000+01:00
33,17.35,26,2022-01-08 05:56:15.298000+01:00
34,17.3,26,2022-01-08 06:12:29.760000+01:00
35,17.15,26,2022-01-08 06:28:44.524000+01:00
36,17.1,26,2022-01-08 06:44:59.416000+01:00
37,17.1,26,2022-01-08 07:01:14.579000+01:00
38,17.0,26,2022-01-08 07:17:29.973000+01:00
39,16.9,26,2022-01-08 07:33:45.548000+01:00
40,16.85,26,2022-01-08 07:50:01.447000+01:00
41,16.8,26,2022-01-08 08:06:17.323000+01:00
42,16.85,27,2022-01-08 08:22:33.506000+01:00
43,17.0,28,2022-01-08 08:38:49.398000+01:00
44,18.0,29,2022-01-08 08:55:03.509000+01:00
45,18.75,31,2022-01-08 09:11:15.183000+01:00
46,19.35,31,2022-01-08 09:27:24.903000+01:00
47,19.55,31,2022-01-08 09:43:32.974000+01:00
48,18.9,31,2022-01-08 09:59:42.234000+01:00
49,18.6,30,2022-01-08 10:15:52.923000+01:00
50,18.3,30,2022-01-08 10:32:04.558000+01:00
51,18.05,30,2022-01-08 10:48:16.569000+01:00
52,17.9,30,2022-01-08 11:04:29.014000+01:00
53,17.8,30,2022-01-08 11:20:42.337000+01:00
54,17.65,29,2022-01-08 11:36:55.808000+01:00
55,17.5,29,2022-01-08 11:53:09.973000+01:00
56,17.35,29,2022-01-08 12:09:24.469000+01:00
57,17.3,29,2022-01-08 12:25:39.083000+01:00
58,17.25,29,2022-01-08 12:41:53.926000+01:00
59,17.15,29,2022-01-08 12:58:08.808000+01:00
60,17.05,29,2022-01-08 13:14:23.895000+01:00
61,17.0,30,2022-01-08 13:30:39.566000+01:00
62,16.85,30,2022-01-08 13:46:55.494000+01:00
63,16.8,30,2022-01-08 14:03:11.463000+01:00
64,17.1,30,2022-01-08 14:19:27.615000+01:00
65,18.1,30,2022-01-08 14:35:41.344000+01:00
66,18.75,30,2022-01-08 14:51:52.532000+01:00
67,19.05,29,2022-01-08 15:08:01.972000+01:00
68,18.7,30,2022-01-08 15:24:12.119000+01:00
69,18.7,31,2022-01-08 15:40:22.649000+01:00
70,18.75,30,2022-01-08 15:56:33.198000+01:00
71,18.95,31,2022-01-08 16:12:43.328000+01:00
72,19.2,32,2022-01-08 16:28:52.795000+01:00
73,19.45,32,2022-01-08 16:45:01.713000+01:00
74,19.7,32,2022-01-08 17:01:10.213000+01:00
75,19.8,32,2022-01-08 17:17:18.289000+01:00
76,19.75,32,2022-01-08 17:33:26.269000+01:00
77,19.8,32,2022-01-08 17:49:33.832000+01:00
78,20.05,31,2022-01-08 18:05:40.569000+01:00
79,20.15,31,2022-01-08 18:21:46.829000+01:00
80,20.15,31,2022-01-08 18:37:52.951000+01:00
81,20.2,30,2022-01-08 18:53:59.003000+01:00
82,20.35,30,2022-01-08 19:10:04.760000+01:00
83,20.45,29,2022-01-08 19:26:10.297000+01:00
84,20.55,29,2022-01-08 19:42:15.514000+01:00
85,20.55,28,2022-01-08 19:58:20.813000+01:00
86,20.5,29,2022-01-08 20:14:26.145000+01:00
87,20.4,28,2022-01-08 20:30:31.362000+01:00
88,20.3,27,2022-01-08 20:46:37.024000+01:00
89,20.15,27,2022-01-08 21:02:42.868000+01:00
90,19.9,27,2022-01-08 21:18:49.410000+01:00
91,19.8,26,2022-01-08 21:34:56.806000+01:00
92,19.6,26,2022-01-08 21:51:03.453000+01:00
93,19.3,26,2022-01-08 22:07:11.717000+01:00
94,19.15,25,2022-01-08 22:23:20.579000+01:00
95,19.0,25,2022-01-08 22:39:29.897000+01:00
96,19.05,30,2022-01-08 22:55:39.350000+01:00
97,18.9,29,2022-01-08 23:11:49.091000+01:00
98,18.85,29,2022-01-08 23:27:59.015000+01:00
99,18.7,29,2022-01-08 23:44:09.330000+01:00
100,18.55,28,2022-01-09 00:00:20.011000+01:00
101,18.4,28,2022-01-09 00:16:31.053000+01:00
102,18.3,28,2022-01-09 00:32:42.504000+01:00
