,2OfficeDoor,timestamp
0,PRESENT,2022-01-07 21:58:08.629000+01:00
1,NOT_PRESENT,2022-01-07 22:24:47.419000+01:00
2,PRESENT,2022-01-07 22:26:23.162000+01:00
3,NOT_PRESENT,2022-01-07 23:22:35.487000+01:00
4,PRESENT,2022-01-07 23:26:15.954000+01:00
5,NOT_PRESENT,2022-01-08 00:44:08.192000+01:00
6,PRESENT,2022-01-08 00:44:29.074000+01:00
7,NOT_PRESENT,2022-01-08 00:45:22.408000+01:00
8,PRESENT,2022-01-08 00:45:38.660000+01:00
9,NOT_PRESENT,2022-01-08 08:45:58.565000+01:00
10,PRESENT,2022-01-08 18:37:52.894000+01:00
11,NOT_PRESENT,2022-01-08 18:57:14.254000+01:00
12,PRESENT,2022-01-08 18:57:21.655000+01:00
13,NOT_PRESENT,2022-01-08 21:03:59.759000+01:00
14,PRESENT,2022-01-08 21:04:05.185000+01:00
15,NOT_PRESENT,2022-01-09 08:09:34.334000+01:00
16,PRESENT,2022-01-09 08:51:59.913000+01:00
17,NOT_PRESENT,2022-01-09 10:01:33.314000+01:00
18,PRESENT,2022-01-10 11:11:14.729000+01:00
19,NOT_PRESENT,2022-01-10 15:51:44.577000+01:00
20,PRESENT,2022-01-10 15:51:54.617000+01:00
21,NOT_PRESENT,2022-01-10 15:55:05.329000+01:00
22,PRESENT,2022-01-10 15:55:12.011000+01:00
23,NOT_PRESENT,2022-01-10 16:51:50.913000+01:00
24,PRESENT,2022-01-11 12:28:37.204000+01:00
25,NOT_PRESENT,2022-01-11 12:32:54.214000+01:00
26,PRESENT,2022-01-11 12:42:36.350000+01:00
27,NOT_PRESENT,2022-01-11 13:22:17.889000+01:00
28,PRESENT,2022-01-11 13:22:22.763000+01:00
29,NOT_PRESENT,2022-01-11 13:29:30.786000+01:00
30,PRESENT,2022-01-11 15:10:54.683000+01:00
31,NOT_PRESENT,2022-01-11 15:46:28.323000+01:00
32,PRESENT,2022-01-11 18:49:47.895000+01:00
33,NOT_PRESENT,2022-01-11 19:11:08.785000+01:00
34,PRESENT,2022-01-13 22:54:29.080000+01:00
35,NOT_PRESENT,2022-01-14 00:29:00.969000+01:00
36,PRESENT,2022-01-15 11:35:57.261000+01:00
37,NOT_PRESENT,2022-01-15 11:44:33.681000+01:00
38,PRESENT,2022-01-15 13:17:06.002000+01:00
39,NOT_PRESENT,2022-01-15 13:17:40.127000+01:00
40,PRESENT,2022-01-15 13:32:47.712000+01:00
41,NOT_PRESENT,2022-01-15 14:11:24.263000+01:00
42,PRESENT,2022-01-15 14:11:37.208000+01:00
43,NOT_PRESENT,2022-01-15 14:11:52.393000+01:00
44,PRESENT,2022-01-15 14:14:20.795000+01:00
45,NOT_PRESENT,2022-01-15 14:49:05.466000+01:00
46,PRESENT,2022-01-15 14:49:27.614000+01:00
47,NOT_PRESENT,2022-01-15 15:30:36.847000+01:00
48,PRESENT,2022-01-15 15:31:40.493000+01:00
49,NOT_PRESENT,2022-01-15 15:32:52.531000+01:00
50,PRESENT,2022-01-15 15:41:36.173000+01:00
51,NOT_PRESENT,2022-01-15 15:59:42.259000+01:00
52,PRESENT,2022-01-15 16:01:20.150000+01:00
53,NOT_PRESENT,2022-01-15 16:02:36.828000+01:00
54,PRESENT,2022-01-15 16:04:13.380000+01:00
55,NOT_PRESENT,2022-01-15 16:04:43.886000+01:00
56,PRESENT,2022-01-15 16:04:56.667000+01:00
57,NOT_PRESENT,2022-01-15 16:44:22.394000+01:00
58,PRESENT,2022-01-16 12:34:13.202000+01:00
59,NOT_PRESENT,2022-01-16 13:39:01.759000+01:00
60,PRESENT,2022-01-17 08:52:11.516000+01:00
61,NOT_PRESENT,2022-01-17 10:04:21.291000+01:00
62,PRESENT,2022-01-17 15:43:11.097000+01:00
63,NOT_PRESENT,2022-01-17 16:08:56.118000+01:00
64,PRESENT,2022-01-17 17:17:30.659000+01:00
65,NOT_PRESENT,2022-01-17 19:02:55.060000+01:00
66,PRESENT,2022-01-18 00:50:35.852000+01:00
67,NOT_PRESENT,2022-01-18 07:31:08.961000+01:00
68,PRESENT,2022-01-19 12:58:17.993000+01:00
69,NOT_PRESENT,2022-01-19 13:50:53.699000+01:00
70,PRESENT,2022-01-19 14:37:32.395000+01:00
71,NOT_PRESENT,2022-01-19 15:21:30.913000+01:00
72,PRESENT,2022-01-19 15:53:11.295000+01:00
73,NOT_PRESENT,2022-01-19 16:04:00.191000+01:00
74,PRESENT,2022-01-19 16:04:04.967000+01:00
75,NOT_PRESENT,2022-01-19 17:02:06.921000+01:00
76,PRESENT,2022-01-19 18:18:42.336000+01:00
77,NOT_PRESENT,2022-01-20 08:00:36.158000+01:00
78,PRESENT,2022-01-20 09:01:16.367000+01:00
79,NOT_PRESENT,2022-01-20 09:14:12.717000+01:00
80,PRESENT,2022-01-20 12:47:48.177000+01:00
81,NOT_PRESENT,2022-01-20 17:43:35.339000+01:00
82,PRESENT,2022-01-20 17:43:43.376000+01:00
83,NOT_PRESENT,2022-01-20 17:43:52.090000+01:00
84,PRESENT,2022-01-21 12:12:36.376000+01:00
85,NOT_PRESENT,2022-01-21 13:05:31.519000+01:00
86,PRESENT,2022-01-21 16:02:25.444000+01:00
87,NOT_PRESENT,2022-01-21 23:33:19.322000+01:00
88,PRESENT,2022-01-21 23:33:49.918000+01:00
89,NOT_PRESENT,2022-01-22 02:35:29.108000+01:00
90,PRESENT,2022-01-22 02:36:12.629000+01:00
91,NOT_PRESENT,2022-01-22 11:56:05.231000+01:00
92,PRESENT,2022-01-22 12:24:54.821000+01:00
93,NOT_PRESENT,2022-01-22 17:08:23.528000+01:00
94,PRESENT,2022-01-23 02:08:54.595000+01:00
95,NOT_PRESENT,2022-01-23 09:24:19.290000+01:00
96,PRESENT,2022-01-23 13:13:43.530000+01:00
97,NOT_PRESENT,2022-01-23 17:29:31.503000+01:00
98,PRESENT,2022-01-25 01:51:38.148000+01:00
99,NOT_PRESENT,2022-01-25 07:45:20.779000+01:00
100,PRESENT,2022-01-25 09:16:42.161000+01:00
101,NOT_PRESENT,2022-01-25 09:16:43.780000+01:00
102,PRESENT,2022-01-25 09:41:08.595000+01:00
103,NOT_PRESENT,2022-01-25 09:41:14.692000+01:00
104,PRESENT,2022-01-25 11:02:22.621000+01:00
105,NOT_PRESENT,2022-01-25 11:46:06.293000+01:00
106,PRESENT,2022-01-25 11:46:11.163000+01:00
107,NOT_PRESENT,2022-01-25 11:50:48.246000+01:00
108,PRESENT,2022-01-25 11:50:52.460000+01:00
109,NOT_PRESENT,2022-01-25 11:53:08.827000+01:00
110,PRESENT,2022-01-25 11:53:13.715000+01:00
111,NOT_PRESENT,2022-01-25 11:53:36.614000+01:00
112,PRESENT,2022-01-25 12:01:54.764000+01:00
113,NOT_PRESENT,2022-01-25 12:02:06.852000+01:00
114,PRESENT,2022-01-25 12:02:10.445000+01:00
115,NOT_PRESENT,2022-01-25 12:05:03.518000+01:00
116,PRESENT,2022-01-25 12:20:36.071000+01:00
117,NOT_PRESENT,2022-01-25 12:20:37.710000+01:00
118,PRESENT,2022-01-25 12:20:45.734000+01:00
119,NOT_PRESENT,2022-01-25 12:20:49.546000+01:00
120,PRESENT,2022-01-25 13:37:42.044000+01:00
121,NOT_PRESENT,2022-01-25 14:00:45.163000+01:00
122,PRESENT,2022-01-25 14:42:12.534000+01:00
123,NOT_PRESENT,2022-01-25 14:50:53.967000+01:00
124,PRESENT,2022-01-25 15:55:40.188000+01:00
125,NOT_PRESENT,2022-01-25 16:09:24.244000+01:00
126,PRESENT,2022-01-25 16:09:29.029000+01:00
127,NOT_PRESENT,2022-01-25 16:20:40.933000+01:00
