,KitchenSinkWater,timestamp
0,PRESENT,2022-01-15 13:25:18.373000+01:00
1,NOT_PRESENT,2022-01-25 12:16:47.250000+01:00
2,PRESENT,2022-01-25 12:19:00.648000+01:00
3,NOT_PRESENT,2022-01-25 12:19:03.199000+01:00
4,PRESENT,2022-01-25 12:19:05.588000+01:00
5,NOT_PRESENT,2022-01-25 12:19:07.517000+01:00
6,PRESENT,2022-01-25 12:19:16.573000+01:00
7,NOT_PRESENT,2022-01-25 12:19:17.847000+01:00
8,PRESENT,2022-01-25 12:19:25.289000+01:00
9,NOT_PRESENT,2022-01-25 12:19:26.569000+01:00
10,PRESENT,2022-01-25 12:19:46.351000+01:00
11,NOT_PRESENT,2022-01-25 12:23:36.085000+01:00
12,PRESENT,2022-01-25 12:23:38.063000+01:00
13,NOT_PRESENT,2022-01-25 13:29:20.624000+01:00
14,PRESENT,2022-01-25 13:30:26.389000+01:00
15,NOT_PRESENT,2022-01-25 13:30:29.873000+01:00
16,PRESENT,2022-01-25 16:46:48.696000+01:00
17,NOT_PRESENT,2022-01-25 16:46:57.613000+01:00
18,PRESENT,2022-01-25 16:49:10.920000+01:00
19,PRESENT,2022-01-26 14:54:47.141000+01:00
20,NOT_PRESENT,2022-01-26 15:00:47.312000+01:00
21,PRESENT,2022-01-26 15:04:11.287000+01:00
22,NOT_PRESENT,2022-01-26 15:04:14.552000+01:00
23,PRESENT,2022-01-26 15:43:53.465000+01:00
24,NOT_PRESENT,2022-01-26 15:45:01.955000+01:00
25,PRESENT,2022-01-26 15:48:45.138000+01:00
26,NOT_PRESENT,2022-01-26 15:48:47.961000+01:00
27,PRESENT,2022-01-26 15:48:57.694000+01:00
28,NOT_PRESENT,2022-01-26 15:49:03.851000+01:00
29,PRESENT,2022-01-26 17:49:37.712000+01:00
30,NOT_PRESENT,2022-01-26 17:51:00.534000+01:00
31,PRESENT,2022-01-26 18:39:32.249000+01:00
32,NOT_PRESENT,2022-01-26 18:39:35.634000+01:00
33,PRESENT,2022-01-27 11:46:19.990000+01:00
34,NOT_PRESENT,2022-01-27 13:23:34.453000+01:00
35,NOT_PRESENT,2022-01-27 17:26:55.867000+01:00
36,PRESENT,2022-01-27 18:11:33.127000+01:00
37,NOT_PRESENT,2022-01-27 18:11:43.870000+01:00
38,NOT_PRESENT,2022-01-28 13:28:28.499000+01:00
39,PRESENT,2022-01-28 13:30:25.596000+01:00
40,NOT_PRESENT,2022-01-28 13:30:32.645000+01:00
41,PRESENT,2022-01-28 13:31:23.192000+01:00
42,NOT_PRESENT,2022-01-28 13:31:30.455000+01:00
43,PRESENT,2022-01-28 13:31:50.322000+01:00
44,NOT_PRESENT,2022-01-28 13:32:12.469000+01:00
45,PRESENT,2022-01-28 13:33:08.976000+01:00
46,NOT_PRESENT,2022-01-28 13:33:15.703000+01:00
47,PRESENT,2022-01-28 19:10:25.134000+01:00
48,NOT_PRESENT,2022-01-28 19:10:43.962000+01:00
49,PRESENT,2022-01-28 20:41:22.858000+01:00
50,NOT_PRESENT,2022-01-28 20:42:32.483000+01:00
51,PRESENT,2022-01-29 07:44:26.105000+01:00
52,NOT_PRESENT,2022-01-29 07:44:29.589000+01:00
53,PRESENT,2022-01-29 09:50:11.580000+01:00
54,NOT_PRESENT,2022-01-29 10:19:43.082000+01:00
55,PRESENT,2022-01-29 11:20:58.010000+01:00
56,NOT_PRESENT,2022-01-29 11:21:01.378000+01:00
57,PRESENT,2022-01-29 11:28:00.205000+01:00
58,NOT_PRESENT,2022-01-29 11:28:03.556000+01:00
59,PRESENT,2022-01-29 13:57:13.697000+01:00
60,NOT_PRESENT,2022-01-29 13:57:21.500000+01:00
61,PRESENT,2022-01-29 14:03:35.387000+01:00
62,NOT_PRESENT,2022-01-29 14:03:39.059000+01:00
63,PRESENT,2022-01-29 14:49:33.411000+01:00
64,NOT_PRESENT,2022-01-29 14:49:36.744000+01:00
65,PRESENT,2022-01-29 14:50:06.811000+01:00
66,NOT_PRESENT,2022-01-29 14:50:10.576000+01:00
67,PRESENT,2022-01-29 14:50:26.530000+01:00
68,NOT_PRESENT,2022-01-29 14:50:29.856000+01:00
69,PRESENT,2022-01-29 14:56:09.882000+01:00
70,NOT_PRESENT,2022-01-29 14:56:13.309000+01:00
71,PRESENT,2022-01-29 15:17:12.028000+01:00
72,NOT_PRESENT,2022-01-29 15:17:40.476000+01:00
73,PRESENT,2022-01-29 15:25:05.999000+01:00
74,NOT_PRESENT,2022-01-29 15:25:07.298000+01:00
75,PRESENT,2022-01-29 15:57:42.500000+01:00
76,NOT_PRESENT,2022-01-29 15:57:43.797000+01:00
77,PRESENT,2022-01-29 15:57:52.843000+01:00
78,NOT_PRESENT,2022-01-29 15:57:56.041000+01:00
79,PRESENT,2022-01-29 16:21:15.980000+01:00
80,NOT_PRESENT,2022-01-29 16:21:17.282000+01:00
81,NOT_PRESENT,2022-01-30 03:54:20.373000+01:00
82,PRESENT,2022-01-30 08:33:01.174000+01:00
83,NOT_PRESENT,2022-01-30 08:33:03.059000+01:00
84,PRESENT,2022-01-30 08:38:55.804000+01:00
85,NOT_PRESENT,2022-01-30 08:38:59.480000+01:00
86,PRESENT,2022-01-30 08:46:13.471000+01:00
87,NOT_PRESENT,2022-01-30 08:46:16.868000+01:00
88,PRESENT,2022-01-30 10:26:52.584000+01:00
89,NOT_PRESENT,2022-01-30 10:26:54.470000+01:00
90,PRESENT,2022-01-30 10:27:03.290000+01:00
91,NOT_PRESENT,2022-01-30 10:27:53.194000+01:00
92,PRESENT,2022-01-30 11:55:58.025000+01:00
93,NOT_PRESENT,2022-01-30 11:56:11.843000+01:00
94,PRESENT,2022-01-30 12:24:34.493000+01:00
95,NOT_PRESENT,2022-01-30 12:29:33.669000+01:00
96,PRESENT,2022-01-30 13:13:00.634000+01:00
97,NOT_PRESENT,2022-01-30 13:13:04.192000+01:00
98,PRESENT,2022-01-30 13:19:53.923000+01:00
99,NOT_PRESENT,2022-01-30 13:19:59.692000+01:00
100,PRESENT,2022-01-30 13:20:24.482000+01:00
101,NOT_PRESENT,2022-01-30 13:20:25.789000+01:00
102,PRESENT,2022-01-30 13:20:37.204000+01:00
103,NOT_PRESENT,2022-01-30 13:20:43.531000+01:00
104,PRESENT,2022-01-30 14:13:28.219000+01:00
105,NOT_PRESENT,2022-01-30 14:18:01.226000+01:00
106,PRESENT,2022-01-30 14:19:10.710000+01:00
107,NOT_PRESENT,2022-01-30 14:19:17.149000+01:00
108,PRESENT,2022-01-30 14:21:08.526000+01:00
109,NOT_PRESENT,2022-01-30 14:21:11.945000+01:00
110,PRESENT,2022-01-30 14:22:09.619000+01:00
111,NOT_PRESENT,2022-01-30 14:22:13.182000+01:00
112,PRESENT,2022-01-30 14:49:38.414000+01:00
113,NOT_PRESENT,2022-01-30 14:57:55.629000+01:00
114,PRESENT,2022-01-30 15:33:46.474000+01:00
115,NOT_PRESENT,2022-01-30 15:33:50.159000+01:00
116,PRESENT,2022-01-30 16:00:02.910000+01:00
117,NOT_PRESENT,2022-01-30 16:00:06.668000+01:00
118,PRESENT,2022-01-30 16:14:59.740000+01:00
119,NOT_PRESENT,2022-01-30 16:15:04.419000+01:00
120,PRESENT,2022-01-30 16:17:34.557000+01:00
121,NOT_PRESENT,2022-01-30 16:25:51.504000+01:00
122,PRESENT,2022-01-30 17:41:22.757000+01:00
123,NOT_PRESENT,2022-01-30 18:20:43.153000+01:00
124,PRESENT,2022-01-30 18:59:03.008000+01:00
125,NOT_PRESENT,2022-01-30 19:10:50.040000+01:00
126,PRESENT,2022-01-30 19:20:29.383000+01:00
127,NOT_PRESENT,2022-01-30 19:37:23.236000+01:00
128,PRESENT,2022-01-30 19:37:27.090000+01:00
129,NOT_PRESENT,2022-01-30 19:45:11.465000+01:00
130,NOT_PRESENT,2022-02-01 01:44:32.181000+01:00
131,PRESENT,2022-02-01 11:16:14.944000+01:00
132,NOT_PRESENT,2022-02-01 11:16:31.912000+01:00
133,PRESENT,2022-02-01 11:16:46.758000+01:00
134,NOT_PRESENT,2022-02-01 11:18:20.646000+01:00
135,PRESENT,2022-02-01 11:30:06.652000+01:00
136,NOT_PRESENT,2022-02-01 11:30:35.944000+01:00
137,PRESENT,2022-02-01 11:30:42.630000+01:00
138,NOT_PRESENT,2022-02-01 11:38:58.810000+01:00
139,NOT_PRESENT,2022-02-01 15:52:45.056000+01:00
140,PRESENT,2022-02-01 15:54:53.178000+01:00
141,NOT_PRESENT,2022-02-01 17:56:40.490000+01:00
142,PRESENT,2022-02-01 18:10:46.972000+01:00
143,NOT_PRESENT,2022-02-01 18:10:57.360000+01:00
144,PRESENT,2022-02-01 18:26:19.855000+01:00
145,NOT_PRESENT,2022-02-01 18:26:23.521000+01:00
146,PRESENT,2022-02-01 18:26:42.611000+01:00
147,NOT_PRESENT,2022-02-01 18:26:46.232000+01:00
148,PRESENT,2022-02-01 18:30:02.727000+01:00
149,NOT_PRESENT,2022-02-01 18:30:06.561000+01:00
150,PRESENT,2022-02-01 18:32:11.250000+01:00
151,NOT_PRESENT,2022-02-01 18:32:15.629000+01:00
152,PRESENT,2022-02-01 18:32:22.115000+01:00
153,NOT_PRESENT,2022-02-01 18:32:44.847000+01:00
154,PRESENT,2022-02-01 18:36:23.623000+01:00
155,NOT_PRESENT,2022-02-01 18:36:27.083000+01:00
156,PRESENT,2022-02-01 18:39:10.591000+01:00
157,NOT_PRESENT,2022-02-01 18:39:13.599000+01:00
158,NOT_PRESENT,2022-02-02 07:27:34.229000+01:00
159,PRESENT,2022-02-02 08:59:19.211000+01:00
160,NOT_PRESENT,2022-02-03 12:15:19.049000+01:00
161,PRESENT,2022-02-03 12:22:27.039000+01:00
162,NOT_PRESENT,2022-02-03 12:23:05.765000+01:00
163,PRESENT,2022-02-03 15:17:07.525000+01:00
164,NOT_PRESENT,2022-02-03 15:17:11.732000+01:00
165,PRESENT,2022-02-03 15:27:56.811000+01:00
166,NOT_PRESENT,2022-02-03 15:28:00.944000+01:00
167,NOT_PRESENT,2022-02-03 19:54:08.973000+01:00
168,PRESENT,2022-02-03 19:54:15.635000+01:00
169,NOT_PRESENT,2022-02-03 19:54:44.702000+01:00
170,PRESENT,2022-02-03 19:57:16.161000+01:00
171,NOT_PRESENT,2022-02-03 20:00:38.927000+01:00
172,NOT_PRESENT,2022-02-04 09:47:38.804000+01:00
173,PRESENT,2022-02-04 10:07:19.733000+01:00
174,NOT_PRESENT,2022-02-04 10:07:22.294000+01:00
175,PRESENT,2022-02-04 11:31:41.549000+01:00
176,NOT_PRESENT,2022-02-04 11:31:45.559000+01:00
177,PRESENT,2022-02-04 11:44:13.638000+01:00
178,NOT_PRESENT,2022-02-04 11:44:17.418000+01:00
179,PRESENT,2022-02-04 16:33:01.021000+01:00
180,NOT_PRESENT,2022-02-04 16:33:09.222000+01:00
181,PRESENT,2022-02-04 17:25:05.274000+01:00
182,NOT_PRESENT,2022-02-04 17:25:20.049000+01:00
183,PRESENT,2022-02-04 17:28:48.992000+01:00
184,NOT_PRESENT,2022-02-04 17:34:08.893000+01:00
185,PRESENT,2022-02-04 17:39:36.558000+01:00
186,NOT_PRESENT,2022-02-04 17:39:42.421000+01:00
187,PRESENT,2022-02-04 18:16:14.781000+01:00
188,NOT_PRESENT,2022-02-04 18:16:38.941000+01:00
189,PRESENT,2022-02-04 18:21:07.189000+01:00
190,NOT_PRESENT,2022-02-04 18:21:10.941000+01:00
191,PRESENT,2022-02-04 18:23:04.545000+01:00
192,NOT_PRESENT,2022-02-04 18:23:08.146000+01:00
193,PRESENT,2022-02-04 18:25:38.595000+01:00
194,NOT_PRESENT,2022-02-04 18:25:48.601000+01:00
195,PRESENT,2022-02-04 18:59:46.790000+01:00
196,NOT_PRESENT,2022-02-04 19:00:04.388000+01:00
197,PRESENT,2022-02-04 19:00:12.428000+01:00
198,NOT_PRESENT,2022-02-04 19:05:51.238000+01:00
199,NOT_PRESENT,2022-02-05 10:23:43.107000+01:00
200,PRESENT,2022-02-05 20:01:16.582000+01:00
201,PRESENT,2022-02-06 10:25:21.805000+01:00
202,NOT_PRESENT,2022-02-06 10:27:27.135000+01:00
203,PRESENT,2022-02-06 13:58:19.817000+01:00
204,NOT_PRESENT,2022-02-06 13:58:23.383000+01:00
205,PRESENT,2022-02-06 14:10:42.318000+01:00
206,NOT_PRESENT,2022-02-06 14:10:49.461000+01:00
